event_id,appliance_name,appliance_ID,Shiftability,start_time,end_time,duration(min),energy(W),is_reschedulable,appliance_id,label,month,cost_TOU_D,energy_TOU_D,cost_TOU_D_Base,energy_TOU_D_Base
Fridge-Freezer_(1)_2014-01-10_01,Fridge-Freezer (1),Appliance1,Base,2014-01-10 10:58:00,2014-01-10 22:18:00,680.0,32971.18,False,Appliance1,Appliance1 (Fridge-Freezer (1)),2014-01,0.2503,0.5495,0.3297,0.5495
Fridge-Freezer_(1)_2014-01-10_02,Fridge-Freezer (1),Appliance1,Base,2014-01-10 23:51:00,2014-01-12 20:12:00,2661.0,127204.58,False,Appliance1,Appliance1 (Fridge-Freezer (1)),2014-01,0.9437,2.1201,1.272,2.1201
Fridge-Freezer_(1)_2014-01-12_01,Fridge-Freezer (1),Appliance1,Base,2014-01-12 21:46:00,2014-01-15 20:52:00,4266.0,184056.07,False,Appliance1,Appliance1 (Fridge-Freezer (1)),2014-01,1.3702,3.0676,1.8406,3.0676
Fridge-Freezer_(1)_2014-01-15_01,Fridge-Freezer (1),Appliance1,Base,2014-01-15 22:15:00,2014-01-17 19:29:00,2714.0,123123.53,False,Appliance1,Appliance1 (Fridge-Freezer (1)),2014-01,0.916,2.0521,1.2312,2.0521
Fridge-Freezer_(1)_2014-01-17_01,Fridge-Freezer (1),Appliance1,Base,2014-01-17 20:36:00,2014-01-17 23:47:00,191.0,12392.13,False,Appliance1,Appliance1 (Fridge-Freezer (1)),2014-01,0.0921,0.2065,0.1239,0.2065
Fridge-Freezer_(1)_2014-01-18_01,Fridge-Freezer (1),Appliance1,Base,2014-01-18 01:23:00,2014-01-20 00:51:00,2848.0,136278.56,False,Appliance1,Appliance1 (Fridge-Freezer (1)),2014-01,1.0082,2.2713,1.3628,2.2713
Fridge-Freezer_(1)_2014-01-20_01,Fridge-Freezer (1),Appliance1,Base,2014-01-20 02:24:00,2014-01-20 21:34:00,1150.0,52432.31,False,Appliance1,Appliance1 (Fridge-Freezer (1)),2014-01,0.3917,0.8739,0.5243,0.8739
Fridge-Freezer_(1)_2014-01-20_02,Fridge-Freezer (1),Appliance1,Base,2014-01-20 23:11:00,2014-01-22 20:52:00,2741.0,117799.6,False,Appliance1,Appliance1 (Fridge-Freezer (1)),2014-01,0.8734,1.9633,1.178,1.9633
Fridge-Freezer_(1)_2014-01-22_01,Fridge-Freezer (1),Appliance1,Base,2014-01-22 22:08:00,2014-01-22 23:09:00,61.0,6066.51,False,Appliance1,Appliance1 (Fridge-Freezer (1)),2014-01,0.0435,0.1011,0.0607,0.1011
Fridge-Freezer_(1)_2014-01-23_01,Fridge-Freezer (1),Appliance1,Base,2014-01-23 00:46:00,2014-01-25 22:49:00,4203.0,91857.82,False,Appliance1,Appliance1 (Fridge-Freezer (1)),2014-01,0.6847,1.531,0.9186,1.531
