label,cost_TOU_D,cost_TOU_D_Base,energy_TOU_D,energy_TOU_D_Base
Appliance1 (Fridge-Freezer),358.4679,479.3187,798.8639,798.8639
Appliance2 (Tumble Dryer),416.0031,552.8008,921.3465,921.3465
Appliance3 (Washing Machine),135.9966,182.3075,303.8486,303.8486
Appliance4 (Dishwasher),127.1081,170.7744,284.627,284.627
Appliance5 (Computer Site),250.8268,333.7669,556.2765,556.2765
Appliance6 (Television Site),98.4481,123.5794,205.9661,205.9661
Appliance7 (Combination Microwave),168.7685,214.4439,357.409,357.409
Appliance8 (Kettle),116.7469,154.0177,256.6943,256.6943
Appliance9 (Toaster),32.7207,44.5311,74.2173,74.2173
Total,1705.0867,2255.5404,3759.2491999999997,3759.2491999999997
