month,cost_TOU_D,cost_TOU_D_Base,energy_TOU_D,energy_TOU_D_Base
2013-09,20.8304,26.4476,44.0787,44.0787
2013-10,73.2458,97.6227,162.7037,162.7037
2013-11,105.5354,140.2589,233.7672,233.7672
2013-12,85.9274,114.4631,190.7755,190.7755
2014-01,56.9083,75.5164,125.8633,125.8633
2014-02,12.1135,15.746599999999999,26.2442,26.2442
2014-03,74.2563,98.2188,163.6997,163.6997
2014-04,74.1281,98.8953,164.8239,164.8239
2014-05,107.752,144.7752,241.29309999999998,241.29309999999998
2014-06,176.6158,231.3903,385.6509,385.6509
2014-07,61.981700000000004,79.2334,132.05700000000002,132.05700000000002
2014-08,49.368900000000004,63.4063,105.6769,105.6769
2014-09,65.5621,83.2889,138.8153,138.8153
2014-10,83.9728,111.7329,186.22299999999998,186.22299999999998
2014-11,89.4538,119.4939,199.1585,199.1585
2014-12,137.8558,183.67499999999998,306.12739999999997,306.12739999999997
2015-01,108.1442,144.1587,240.2673,240.2673
2015-02,80.9531,107.8715,179.784,179.784
2015-03,73.77,98.4798,164.1328,164.1328
2015-04,57.9467,77.2437,128.7399,128.7399
2015-05,58.0313,78.0339,130.0555,130.0555
2015-06,41.1491,53.024699999999996,88.3738,88.3738
2015-07,9.5842,12.5628,20.9376,20.9376
