label,cost_Economy_7,cost_Economy_10,cost_Standard,energy_Economy_7,energy_Economy_10,energy_Standard
Appliance1 (Fridge),96.5307,89.7845,110.9657,369.8755,369.8755,369.8755
Appliance2 (Freezer),149.998,138.4773,173.4545,578.1844,578.1844,578.1844
Appliance3 (Tumble Dryer),58.8241,54.0211,58.8313,196.1114,196.1114,196.1114
Appliance4 (Washing Machine),23.0762,22.2251,23.8762,79.5856,79.5856,79.5856
Appliance5 (Dishwasher),33.1492,29.0062,34.7898,115.9795,115.9795,115.9795
Appliance6 (Computer Site),20.7412,16.5023,20.7946,69.3155,69.3155,69.3155
Appliance7 (Television Site),44.1652,36.6789,46.715,155.7163,155.7163,155.7163
Appliance8 (Microwave),13.3774,15.9107,16.6081,56.2747,56.2747,56.2747
Appliance9 (Kettle),33.8986,30.4419,37.7942,125.9898,125.9898,125.9898
Total,473.76059999999995,433.04799999999994,523.8294000000001,1747.0327,1747.0327,1747.0327
