month,cost_TOU_D,cost_TOU_D_Base,energy_TOU_D,energy_TOU_D_Base
2014-01,10.716899999999999,14.1797,23.6335,23.6335
2014-03,111.2765,148.0409,246.7353,246.7353
2014-04,59.9554,80.9105,134.8511,134.8511
2014-05,65.1594,87.6183,146.0279,146.0279
2014-06,61.2332,78.9602,131.6008,131.6008
2014-07,48.6154,62.523,104.2058,104.2058
2014-08,68.664,89.0675,148.4461,148.4461
2014-09,43.2596,54.9664,91.6117,91.6117
2014-10,34.0324,44.6511,74.419,74.419
2014-11,60.6663,80.667,134.4448,134.4448
2014-12,46.7527,62.5424,104.237,104.237
2015-01,121.3176,163.1333,271.88989999999995,271.88989999999995
2015-02,56.4993,76.0181,126.6965,126.6965
2015-03,122.2808,165.66490000000002,276.1068,276.1068
2015-04,58.2326,78.3636,130.6042,130.6042
2015-05,35.7878,47.6564,79.4261,79.4261
