event_id,appliance_name,appliance_id,original_start_time,original_end_time,optimized_start_time,optimized_end_time,duration_minutes,original_cost,optimized_cost,cost_savings,savings_percentage,time_shift_hours,power_profile_points
Washing_Machine_2013-11-30_01,Washing Machine,Appliance2,2013-11-30 11:23:00,2013-11-30 13:36:00,2013-12-01 06:08:00,2013-12-01 08:21:00,133,0.2590954995351871,0.14516981225024975,0.11392568728493738,43.97053885124137,18.75,133
Washing_Machine_2013-11-30_02,Washing Machine,Appliance2,2013-11-30 16:05:00,2013-11-30 16:24:00,2013-11-30 16:05:00,2013-11-30 16:24:00,19,0.009250105158730159,0.009250105158730159,0.0,0.0,0.0,19
Washing_Machine_2013-12-06_01,Washing Machine,Appliance2,2013-12-06 11:21:00,2013-12-06 13:38:00,2013-12-07 06:06:00,2013-12-07 08:23:00,137,0.3156915406746031,0.1753966085407648,0.14029493213383828,44.44051045334989,18.75,137
Washing_Machine_2013-12-10_01,Washing Machine,Appliance2,2013-12-10 11:06:00,2013-12-10 13:20:00,2013-12-11 06:06:00,2013-12-11 08:20:00,134,0.20696622652714924,0.11897473050927831,0.08799149601787093,42.51490568985585,19.0,134
Washing_Machine_2013-12-17_01,Washing Machine,Appliance2,2013-12-17 10:19:00,2013-12-17 12:31:00,2013-12-18 06:04:00,2013-12-18 08:16:00,132,0.19751415360742197,0.11289158141919353,0.08462257218822844,42.84380164290595,19.75,132
Washing_Machine_2013-12-18_01,Washing Machine,Appliance2,2013-12-18 10:50:00,2013-12-18 13:20:00,2013-12-19 06:05:00,2013-12-19 08:35:00,150,0.3253414881476882,0.18006602863293836,0.14527545951474985,44.653222785039425,19.25,150
Washing_Machine_2013-12-28_01,Washing Machine,Appliance2,2013-12-28 10:21:00,2013-12-28 12:37:00,2013-12-29 06:06:00,2013-12-29 08:22:00,136,0.20460831579531572,0.11811641303835045,0.08649190275696526,42.27193915397323,19.75,136
Washing_Machine_2013-12-28_02,Washing Machine,Appliance2,2013-12-28 12:55:00,2013-12-28 15:07:00,2013-12-28 12:55:00,2013-12-28 15:07:00,132,0.22593121596459093,0.22593121596459093,0.0,0.0,0.0,132
Washing_Machine_2013-12-28_03,Washing Machine,Appliance2,2013-12-28 15:10:00,2013-12-28 17:21:00,2013-12-28 15:10:00,2013-12-28 17:21:00,131,0.23961624510171203,0.23961624510171203,0.0,0.0,0.0,131
Washing_Machine_2013-12-28_05,Washing Machine,Appliance2,2013-12-28 19:23:00,2013-12-28 19:54:00,2013-12-28 19:23:00,2013-12-28 19:54:00,31,0.016235054313333722,0.016235054313333722,0.0,0.0,0.0,31
Washing_Machine_2013-12-30_02,Washing Machine,Appliance2,2013-12-30 22:52:00,2013-12-30 22:59:00,2013-12-31 06:07:00,2013-12-31 06:14:00,7,0.004021151515151515,0.0020105757575757575,0.0020105757575757575,50.0,7.25,7
Washing_Machine_2014-01-11_01,Washing Machine,Appliance2,2014-01-11 10:51:00,2014-01-11 12:08:00,2014-01-12 06:06:00,2014-01-12 07:23:00,77,0.20634654502442007,0.10317327251221003,0.10317327251221003,50.0,19.25,77
Washing_Machine_2014-01-12_01,Washing Machine,Appliance2,2014-01-12 12:40:00,2014-01-12 14:08:00,2014-01-13 06:10:00,2014-01-13 07:38:00,88,0.22583645821702814,0.11821877441288288,0.10761768380414526,47.6529275449073,17.5,88
Washing_Machine_2014-01-16_01,Washing Machine,Appliance2,2014-01-16 11:29:00,2014-01-16 13:43:00,2014-01-17 06:14:00,2014-01-17 08:28:00,134,0.31267916862059514,0.1751100164267923,0.13756915219380283,43.99690353556275,18.75,134
Washing_Machine_2014-01-17_01,Washing Machine,Appliance2,2014-01-17 10:14:00,2014-01-17 12:29:00,2014-01-18 06:14:00,2014-01-18 08:29:00,135,0.3168784925699302,0.17482103147546893,0.1420574610944613,44.83026283745382,20.0,135
Washing_Machine_2014-01-19_01,Washing Machine,Appliance2,2014-01-19 11:21:00,2014-01-19 12:38:00,2014-01-20 06:06:00,2014-01-20 07:23:00,77,0.21855399816849813,0.10927699908424907,0.10927699908424907,50.0,18.75,77
Washing_Machine_2014-01-19_02,Washing Machine,Appliance2,2014-01-19 13:09:00,2014-01-19 14:25:00,2014-01-20 07:24:00,2014-01-20 08:40:00,76,0.14639659780497277,0.14526983878621377,0.0011267590187589993,0.7696620247009085,18.25,76
Washing_Machine_2014-01-19_03,Washing Machine,Appliance2,2014-01-19 14:50:00,2014-01-19 15:09:00,2014-01-19 14:50:00,2014-01-19 15:09:00,19,0.009602810800310802,0.009602810800310802,0.0,0.0,0.0,19
Washing_Machine_2014-01-20_01,Washing Machine,Appliance2,2014-01-20 14:38:00,2014-01-20 15:38:00,2014-01-21 06:08:00,2014-01-21 07:08:00,60,0.13939097997835498,0.06969548998917749,0.06969548998917749,50.0,15.5,60
Washing_Machine_2014-01-21_01,Washing Machine,Appliance2,2014-01-21 09:31:00,2014-01-21 11:45:00,2014-01-22 06:01:00,2014-01-22 08:15:00,134,0.3139784010989012,0.17202179467060721,0.14195660642829397,45.2122203092494,20.5,134
Washing_Machine_2014-01-21_02,Washing Machine,Appliance2,2014-01-21 14:32:00,2014-01-21 15:20:00,2014-01-21 14:32:00,2014-01-21 15:20:00,48,0.10646572817460315,0.10646572817460315,0.0,0.0,0.0,48
Washing_Machine_2014-03-08_01,Washing Machine,Appliance2,2014-03-08 12:32:00,2014-03-08 14:44:00,2014-03-09 06:02:00,2014-03-09 08:14:00,132,0.17211453769841273,0.10089077380952381,0.07122376388888892,41.38160834135382,17.5,132
Washing_Machine_2014-03-09_01,Washing Machine,Appliance2,2014-03-09 14:23:00,2014-03-09 16:38:00,2014-03-10 06:08:00,2014-03-10 08:23:00,135,0.33069101984126975,0.1824521716269841,0.14823884821428565,44.82699538845647,15.75,135
Washing_Machine_2014-03-15_01,Washing Machine,Appliance2,2014-03-15 11:31:00,2014-03-15 13:41:00,2014-03-16 06:01:00,2014-03-16 08:11:00,130,0.19162147619047618,0.1105709097222222,0.08105056646825398,42.29722475767165,18.5,127
Washing_Machine_2014-03-16_01,Washing Machine,Appliance2,2014-03-16 10:19:00,2014-03-16 12:32:00,2014-03-17 06:04:00,2014-03-17 08:17:00,133,0.2308087182539682,0.13085681746031744,0.09995190079365077,43.305080306225534,19.75,133
Washing_Machine_2014-03-27_01,Washing Machine,Appliance2,2014-03-27 10:21:00,2014-03-27 12:34:00,2014-03-28 06:06:00,2014-03-28 08:19:00,133,0.23214326118326112,0.13129863888888887,0.10084462229437224,43.440684765241734,19.75,133
Washing_Machine_2014-03-29_01,Washing Machine,Appliance2,2014-03-29 10:04:00,2014-03-29 12:18:00,2014-03-30 06:04:00,2014-03-30 08:18:00,134,0.24410121302308807,0.13604913933982682,0.10805207368326125,44.26527518855109,20.0,134
Washing_Machine_2014-04-01_01,Washing Machine,Appliance2,2014-04-01 10:45:00,2014-04-01 12:03:00,2014-04-02 06:00:00,2014-04-02 07:18:00,78,0.21533968416305926,0.10766984208152963,0.10766984208152963,50.0,19.25,78
Washing_Machine_2014-04-06_01,Washing Machine,Appliance2,2014-04-06 09:57:00,2014-04-06 12:11:00,2014-04-07 06:12:00,2014-04-07 08:26:00,134,0.29872802784715285,0.16468673491785982,0.13404129292929304,44.87067848815197,20.25,133
