event_id,appliance_name,orig_when,orig_season,orig_start_time,orig_end_time,orig_minutes,orig_total_W,orig_total_cost,orig_level_0_minutes,orig_level_0_W,orig_level_0_rate,orig_level_0_cost,orig_level_1_minutes,orig_level_1_W,orig_level_1_rate,orig_level_1_cost,orig_level_2_minutes,orig_level_2_W,orig_level_2_rate,orig_level_2_cost,orig_level_3_minutes,orig_level_3_W,orig_level_3_rate,orig_level_3_cost,orig_level_4_minutes,orig_level_4_W,orig_level_4_rate,orig_level_4_cost,orig_level_5_minutes,orig_level_5_W,orig_level_5_rate,orig_level_5_cost,sched_when,sched_season,sched_start_time,sched_end_time,sched_minutes,sched_total_W,sched_total_cost,sched_level_0_minutes,sched_level_0_W,sched_level_0_rate,sched_level_0_cost,sched_level_1_minutes,sched_level_1_W,sched_level_1_rate,sched_level_1_cost,sched_level_2_minutes,sched_level_2_W,sched_level_2_rate,sched_level_2_cost,sched_level_3_minutes,sched_level_3_W,sched_level_3_rate,sched_level_3_cost,sched_level_4_minutes,sched_level_4_W,sched_level_4_rate,sched_level_4_cost,sched_level_5_minutes,sched_level_5_W,sched_level_5_rate,sched_level_5_cost
Dryer_2013-11-04_02,Dryer,original,,2013-11-04 12:08:00,2013-11-04 12:13:00,5,133.08,0.0007541200000000002,0,0.0,0.22,0.0,0,0.0,0.26,0.0,0,0.0,0.3,0.0,5,133.08,0.34,0.0007541200000000002,0,0.0,0.32,0.0,0,0.0,0.28,0.0,scheduled,,2013-11-04 20:00:00,2013-11-04 20:05:00,5,133.08,0.0006210400000000001,0,0.0,0.22,0.0,0,0.0,0.26,0.0,0,0.0,0.3,0.0,0,0.0,0.34,0.0,0,0.0,0.32,0.0,5,133.08,0.28,0.0006210400000000001
Dryer_2013-11-11_01,Dryer,original,,2013-11-11 06:04:00,2013-11-11 06:29:00,25,31408.95,0.13610545,0,0.0,0.22,0.0,25,31408.95,0.26,0.13610545,0,0.0,0.3,0.0,0,0.0,0.34,0.0,0,0.0,0.32,0.0,0,0.0,0.28,0.0,scheduled,,2013-11-11 06:30:00,2013-11-11 06:55:00,25,31408.95,0.13610545,0,0.0,0.22,0.0,25,31408.95,0.26,0.13610545,0,0.0,0.3,0.0,0,0.0,0.34,0.0,0,0.0,0.32,0.0,0,0.0,0.28,0.0
Dryer_2013-11-16_01,Dryer,original,,2013-11-16 06:27:00,2013-11-16 07:13:00,46,63836.24,0.27662370666666697,0,0.0,0.22,0.0,46,63836.24000000007,0.26,0.27662370666666697,0,0.0,0.3,0.0,0,0.0,0.34,0.0,0,0.0,0.32,0.0,0,0.0,0.28,0.0,scheduled,,2013-11-16 06:32:00,2013-11-16 07:18:00,46,63836.24,0.27662370666666697,0,0.0,0.22,0.0,46,63836.24000000007,0.26,0.27662370666666697,0,0.0,0.3,0.0,0,0.0,0.34,0.0,0,0.0,0.32,0.0,0,0.0,0.28,0.0
Dryer_2013-11-23_01,Dryer,original,,2013-11-23 05:00:00,2013-11-23 05:28:00,28,29888.36,0.12951622666666676,0,0.0,0.22,0.0,28,29888.36000000002,0.26,0.12951622666666676,0,0.0,0.3,0.0,0,0.0,0.34,0.0,0,0.0,0.32,0.0,0,0.0,0.28,0.0,scheduled,,2013-11-23 06:30:00,2013-11-23 06:58:00,28,29888.36,0.12951622666666676,0,0.0,0.22,0.0,28,29888.36000000002,0.26,0.12951622666666676,0,0.0,0.3,0.0,0,0.0,0.34,0.0,0,0.0,0.32,0.0,0,0.0,0.28,0.0
Dryer_2013-11-27_01,Dryer,original,,2013-11-27 09:38:00,2013-11-27 09:43:00,5,640.0,0.0031999999999999997,0,0.0,0.22,0.0,0,0.0,0.26,0.0,5,640.0,0.3,0.0031999999999999997,0,0.0,0.34,0.0,0,0.0,0.32,0.0,0,0.0,0.28,0.0,scheduled,,2013-11-27 20:00:00,2013-11-27 20:05:00,5,640.0,0.002986666666666667,0,0.0,0.22,0.0,0,0.0,0.26,0.0,0,0.0,0.3,0.0,0,0.0,0.34,0.0,0,0.0,0.32,0.0,5,640.0,0.28,0.002986666666666667
Dryer_2013-11-30_01,Dryer,original,,2013-11-30 06:56:00,2013-11-30 07:24:00,28,24997.07,0.10832063666666662,0,0.0,0.22,0.0,28,24997.06999999999,0.26,0.10832063666666662,0,0.0,0.3,0.0,0,0.0,0.34,0.0,0,0.0,0.32,0.0,0,0.0,0.28,0.0,scheduled,,2013-11-30 07:01:00,2013-11-30 07:29:00,28,24997.07,0.10832063666666662,0,0.0,0.22,0.0,28,24997.06999999999,0.26,0.10832063666666662,0,0.0,0.3,0.0,0,0.0,0.34,0.0,0,0.0,0.32,0.0,0,0.0,0.28,0.0
Dryer_2013-12-08_01,Dryer,original,,2013-12-08 06:37:00,2013-12-08 07:25:00,48,51930.89,0.2250338566666666,0,0.0,0.22,0.0,48,51930.889999999985,0.26,0.2250338566666666,0,0.0,0.3,0.0,0,0.0,0.34,0.0,0,0.0,0.32,0.0,0,0.0,0.28,0.0,scheduled,,2013-12-08 06:42:00,2013-12-08 07:30:00,48,51930.89,0.2250338566666666,0,0.0,0.22,0.0,48,51930.889999999985,0.26,0.2250338566666666,0,0.0,0.3,0.0,0,0.0,0.34,0.0,0,0.0,0.32,0.0,0,0.0,0.28,0.0
Dryer_2013-12-14_01,Dryer,original,,2013-12-14 06:24:00,2013-12-14 07:09:00,45,49696.91,0.21535327666666684,0,0.0,0.22,0.0,45,49696.91000000003,0.26,0.21535327666666684,0,0.0,0.3,0.0,0,0.0,0.34,0.0,0,0.0,0.32,0.0,0,0.0,0.28,0.0,scheduled,,2013-12-14 06:30:00,2013-12-14 07:15:00,45,49696.91,0.21535327666666684,0,0.0,0.22,0.0,45,49696.91000000003,0.26,0.21535327666666684,0,0.0,0.3,0.0,0,0.0,0.34,0.0,0,0.0,0.32,0.0,0,0.0,0.28,0.0
Dryer_2013-12-21_01,Dryer,original,,2013-12-21 06:40:00,2013-12-21 07:15:00,35,49892.68,0.21620161333333346,0,0.0,0.22,0.0,35,49892.68000000003,0.26,0.21620161333333346,0,0.0,0.3,0.0,0,0.0,0.34,0.0,0,0.0,0.32,0.0,0,0.0,0.28,0.0,scheduled,,2013-12-21 06:45:00,2013-12-21 07:20:00,35,49892.68,0.21620161333333346,0,0.0,0.22,0.0,35,49892.68000000003,0.26,0.21620161333333346,0,0.0,0.3,0.0,0,0.0,0.34,0.0,0,0.0,0.32,0.0,0,0.0,0.28,0.0
Dryer_2013-12-24_01,Dryer,original,,2013-12-24 06:31:00,2013-12-24 07:09:00,38,49807.65,0.21583315000000006,0,0.0,0.22,0.0,38,49807.650000000016,0.26,0.21583315000000006,0,0.0,0.3,0.0,0,0.0,0.34,0.0,0,0.0,0.32,0.0,0,0.0,0.28,0.0,scheduled,,2013-12-24 06:36:00,2013-12-24 07:14:00,38,49807.65,0.21583315000000006,0,0.0,0.22,0.0,38,49807.650000000016,0.26,0.21583315000000006,0,0.0,0.3,0.0,0,0.0,0.34,0.0,0,0.0,0.32,0.0,0,0.0,0.28,0.0
