month,cost_TOU_D,cost_TOU_D_Base,energy_TOU_D,energy_TOU_D_Base
2013-10,81.0839,109.449,182.4185,182.4185
2013-11,50.2522,67.6789,112.7969,112.7969
2013-12,51.48,69.3884,115.6492,115.6492
2014-01,38.8414,52.2122,87.0185,87.0185
2014-02,46.7553,63.3048,105.511,105.511
2014-04,49.185,66.4193,110.6971,110.6971
2014-05,53.072,71.5976,119.3321,119.3321
2014-06,58.9259,77.9208,129.8683,129.8683
2014-07,61.6595,81.3886,135.6479,135.6479
2014-08,55.7364,73.8159,123.0252,123.0252
2014-09,79.6123,105.68090000000001,176.1342,176.1342
2014-10,49.0974,66.2258,110.3759,110.3759
2014-11,50.785,68.3367,113.8942,113.8942
2014-12,48.9986,66.1321,110.2201,110.2201
2015-01,47.6557,64.3737,107.2915,107.2915
2015-02,45.496,61.219500000000004,102.0187,102.0187
2015-03,43.264,58.3067,97.156,97.156
2015-04,39.765,53.6682,89.445,89.445
2015-05,36.5774,49.3709,82.2863,82.2863
2015-06,24.8749,33.1399,55.2308,55.2308
2015-07,12.7487,17.1161,28.5278,28.5278
