label,cost_TOU_D,cost_TOU_D_Base,energy_TOU_D,energy_TOU_D_Base
Appliance1 (Fridge),55.7214,74.998,125.0023,125.0023
Appliance2 (Freezer),355.3144,478.8472,798.0798,798.0798
Appliance3 (Fridge-Freezer),213.0766,287.4815,479.1419,479.1419
Appliance4 (Washing Machine (1)),22.4165,31.6587,52.764,52.764
Appliance5 (Washing Machine (2)),55.7071,79.2149,132.0254,132.0254
Appliance6 (Computer Site),79.0645,106.2869,177.1129,177.1129
Appliance7 (Television Site),137.7856,178.8561,298.0928,298.0928
Appliance8 (Microwave),45.662,58.6563,97.7469,97.7469
Appliance9 (Kettle),61.1185,80.7464,134.5792,134.5792
Total,1025.8666,1376.746,2294.5452,2294.5452
