appliance_ID,appliance_name,Shiftability,start_time,end_time,duration(min),energy(W)
Appliance1,Fridge,Base,2014-06-20 13:18:00,2014-06-20 13:32:00,14.0,216.8
Appliance1,Fridge,Base,2014-08-13 21:52:00,2014-08-13 21:58:00,6.0,307.2
Appliance1,Fridge,Base,2014-10-07 16:33:00,2014-10-07 17:31:00,58.0,32824.47
Appliance1,Fridge,Base,2014-10-07 17:58:00,2014-10-07 18:20:00,22.0,868.93
Appliance1,Fridge,Base,2014-10-07 18:53:00,2014-10-07 19:12:00,19.0,712.48
Appliance1,Fridge,Base,2014-10-07 19:49:00,2014-10-07 20:08:00,19.0,703.41
Appliance1,Fridge,Base,2014-10-07 20:47:00,2014-10-07 21:06:00,19.0,694.07
Appliance1,Fridge,Base,2014-10-07 21:47:00,2014-10-07 22:06:00,19.0,695.38
Appliance1,Fridge,Base,2014-10-07 22:48:00,2014-10-07 23:08:00,20.0,760.38
Appliance1,Fridge,Base,2014-10-07 23:50:00,2014-10-08 00:10:00,20.0,703.95
Appliance1,Fridge,Base,2014-10-08 00:54:00,2014-10-08 01:14:00,20.0,705.29
Appliance1,Fridge,Base,2014-10-08 01:58:00,2014-10-08 02:18:00,20.0,713.46
Appliance1,Fridge,Base,2014-10-08 03:04:00,2014-10-08 03:24:00,20.0,731.7
Appliance1,Fridge,Base,2014-10-08 04:11:00,2014-10-08 04:31:00,20.0,723.16
Appliance1,Fridge,Base,2014-10-08 05:18:00,2014-10-08 05:38:00,20.0,734.59
Appliance1,Fridge,Base,2014-10-08 06:26:00,2014-10-08 06:46:00,20.0,696.84
Appliance1,Fridge,Base,2014-10-08 07:34:00,2014-10-08 07:55:00,21.0,730.88
Appliance1,Fridge,Base,2014-10-08 08:44:00,2014-10-08 09:04:00,20.0,717.25
Appliance1,Fridge,Base,2014-10-08 09:53:00,2014-10-08 10:14:00,21.0,722.95
Appliance1,Fridge,Base,2014-10-08 11:03:00,2014-10-08 11:23:00,20.0,775.75
Appliance1,Fridge,Base,2014-10-08 12:12:00,2014-10-08 12:32:00,20.0,731.34
Appliance1,Fridge,Base,2014-10-08 13:21:00,2014-10-08 13:42:00,21.0,730.98
Appliance1,Fridge,Base,2014-10-08 14:31:00,2014-10-08 14:51:00,20.0,720.98
Appliance1,Fridge,Base,2014-10-08 15:40:00,2014-10-08 16:00:00,20.0,693.93
Appliance1,Fridge,Base,2014-10-08 16:48:00,2014-10-08 17:13:00,25.0,886.46
Appliance1,Fridge,Base,2014-10-08 18:00:00,2014-10-08 18:21:00,21.0,727.29
Appliance1,Fridge,Base,2014-10-08 19:11:00,2014-10-08 19:32:00,21.0,741.41
Appliance1,Fridge,Base,2014-10-08 20:22:00,2014-10-08 20:42:00,20.0,719.71
Appliance1,Fridge,Base,2014-10-08 21:32:00,2014-10-08 21:54:00,22.0,758.93
Appliance1,Fridge,Base,2014-10-08 22:45:00,2014-10-08 23:07:00,22.0,754.46
Appliance1,Fridge,Base,2014-10-08 23:59:00,2014-10-09 00:20:00,21.0,765.43
Appliance1,Fridge,Base,2014-10-09 01:13:00,2014-10-09 01:34:00,21.0,779.27
Appliance1,Fridge,Base,2014-10-09 02:27:00,2014-10-09 02:49:00,22.0,772.46
Appliance1,Fridge,Base,2014-10-09 03:42:00,2014-10-09 04:03:00,21.0,744.21
Appliance1,Fridge,Base,2014-10-09 04:56:00,2014-10-09 05:18:00,22.0,777.66
Appliance1,Fridge,Base,2014-10-09 06:12:00,2014-10-09 06:34:00,22.0,771.39
Appliance1,Fridge,Base,2014-10-09 07:29:00,2014-10-09 07:51:00,22.0,777.95
Appliance1,Fridge,Base,2014-10-09 08:46:00,2014-10-09 09:07:00,21.0,743.21
Appliance1,Fridge,Base,2014-10-09 10:00:00,2014-10-09 10:21:00,21.0,726.46
Appliance1,Fridge,Base,2014-10-09 11:13:00,2014-10-09 11:34:00,21.0,729.09
Appliance1,Fridge,Base,2014-10-09 12:25:00,2014-10-09 12:47:00,22.0,762.09
Appliance1,Fridge,Base,2014-10-09 13:39:00,2014-10-09 14:00:00,21.0,809.77
Appliance1,Fridge,Base,2014-10-09 14:52:00,2014-10-09 15:14:00,22.0,759.2
Appliance1,Fridge,Base,2014-10-09 16:06:00,2014-10-09 16:28:00,22.0,761.41
Appliance1,Fridge,Base,2014-10-09 17:20:00,2014-10-09 17:42:00,22.0,850.3
Appliance1,Fridge,Base,2014-10-09 18:35:00,2014-10-09 18:57:00,22.0,767.11
Appliance1,Fridge,Base,2014-10-09 19:50:00,2014-10-09 20:10:00,20.0,725.4
Appliance1,Fridge,Base,2014-10-09 21:02:00,2014-10-09 21:25:00,23.0,916.62
Appliance1,Fridge,Base,2014-10-09 22:16:00,2014-10-09 22:38:00,22.0,765.68
Appliance1,Fridge,Base,2014-10-09 23:30:00,2014-10-09 23:52:00,22.0,778.52
Appliance1,Fridge,Base,2014-10-10 00:44:00,2014-10-10 01:06:00,22.0,784.88
Appliance1,Fridge,Base,2014-10-10 01:58:00,2014-10-10 02:20:00,22.0,782.26
Appliance1,Fridge,Base,2014-10-10 03:13:00,2014-10-10 03:34:00,21.0,756.77
Appliance1,Fridge,Base,2014-10-10 04:26:00,2014-10-10 04:49:00,23.0,798.3
Appliance1,Fridge,Base,2014-10-10 05:43:00,2014-10-10 06:05:00,22.0,785.45
Appliance1,Fridge,Base,2014-10-10 07:00:00,2014-10-10 07:21:00,21.0,769.2
Appliance1,Fridge,Base,2014-10-10 08:16:00,2014-10-10 08:38:00,22.0,830.96
Appliance1,Fridge,Base,2014-10-10 09:33:00,2014-10-10 09:55:00,22.0,860.84
Appliance1,Fridge,Base,2014-10-10 10:59:00,2014-10-10 11:12:00,13.0,410.55
Appliance1,Fridge,Base,2014-10-10 12:05:00,2014-10-10 12:27:00,22.0,783.93
Appliance1,Fridge,Base,2014-10-10 13:21:00,2014-10-10 13:43:00,22.0,857.59
Appliance1,Fridge,Base,2014-10-10 14:36:00,2014-10-10 14:57:00,21.0,769.93
Appliance1,Fridge,Base,2014-10-10 15:50:00,2014-10-10 16:10:00,20.0,733.0
Appliance1,Fridge,Base,2014-10-10 17:01:00,2014-10-10 17:23:00,22.0,844.48
Appliance1,Fridge,Base,2014-10-10 18:14:00,2014-10-10 18:36:00,22.0,768.36
Appliance1,Fridge,Base,2014-10-10 19:28:00,2014-10-10 19:49:00,21.0,741.78
Appliance1,Fridge,Base,2014-10-10 20:40:00,2014-10-10 21:02:00,22.0,777.72
Appliance1,Fridge,Base,2014-10-10 21:54:00,2014-10-10 22:15:00,21.0,748.4
Appliance1,Fridge,Base,2014-10-10 23:07:00,2014-10-10 23:29:00,22.0,784.57
Appliance1,Fridge,Base,2014-10-11 00:22:00,2014-10-11 00:44:00,22.0,778.7
Appliance1,Fridge,Base,2014-10-11 01:37:00,2014-10-11 01:59:00,22.0,785.62
Appliance1,Fridge,Base,2014-10-11 02:53:00,2014-10-11 03:15:00,22.0,767.71
Appliance1,Fridge,Base,2014-10-11 04:07:00,2014-10-11 04:30:00,23.0,876.99
Appliance1,Fridge,Base,2014-10-11 05:24:00,2014-10-11 05:46:00,22.0,798.09
Appliance1,Fridge,Base,2014-10-11 06:41:00,2014-10-11 07:03:00,22.0,759.93
Appliance1,Fridge,Base,2014-10-11 07:58:00,2014-10-11 08:20:00,22.0,785.07
Appliance1,Fridge,Base,2014-10-11 09:15:00,2014-10-11 09:38:00,23.0,869.68
Appliance1,Fridge,Base,2014-10-11 10:32:00,2014-10-11 10:55:00,23.0,814.45
