month,cost_Germany_Variable,cost_Germany_Variable_Base,energy_Germany_Variable,energy_Germany_Variable_Base
2014-03,31.8889,37.2749,109.6913,109.6913
2014-04,35.5968,40.7877,120.03349999999999,120.03349999999999
2014-05,23.1693,27.1946,80.034,80.034
2014-06,31.554,36.7218,108.0821,108.0821
2014-07,78.0977,89.1258,262.1792,262.1792
2014-08,28.4071,33.3273,98.0478,98.0478
2014-09,28.3846,33.3047,98.002,98.002
2014-10,32.065,37.3575,109.9414,109.9414
2014-11,30.4834,35.0844,103.2595,103.2595
2014-12,35.5415,40.2125,118.3455,118.3455
2015-01,33.3333,38.0645,112.02,112.02
2015-02,31.2681,35.7013,105.0664,105.0664
2015-03,24.8757,28.6754,84.4084,84.4084
2015-04,29.1701,33.5804,98.8284,98.8284
2015-05,23.3245,26.978,79.3976,79.3976
2015-06,7.5971,8.7396,25.7374,25.7374
