month,cost_TOU_D,cost_TOU_D_Base,energy_TOU_D,energy_TOU_D_Base
2014-03,187.2545,253.18189999999998,421.96990000000005,421.96990000000005
2014-04,58.9569,78.4161,130.6925,130.6925
2014-05,161.3172,216.1407,360.2321,360.2321
2014-06,67.3926,88.3654,147.2756,147.2756
2014-07,64.5564,83.7453,139.5744,139.5744
2014-08,56.8923,75.1578,125.26,125.26
2014-09,65.9095,85.2377,142.0632,142.0632
2014-10,54.4806,73.299,122.1684,122.1684
2014-11,42.2353,56.6937,94.4896,94.4896
2014-12,49.7361,66.6636,111.104,111.104
2015-01,45.7022,61.1834,101.9748,101.9748
2015-02,80.338,107.4711,179.1195,179.1195
2015-03,48.9411,65.3174,108.8606,108.8606
2015-04,47.0837,63.1473,105.2508,105.2508
2015-05,25.4153,34.0593,56.766,56.766
