month,cost_Economy_7,cost_Economy_10,cost_Standard,energy_Economy_7,energy_Economy_10,energy_Standard
2014-03,18.4443,17.2658,22.7089,75.6999,75.6999,75.6999
2014-04,35.5759,32.9444,41.0136,136.7185,136.7185,136.7185
2014-05,18.3443,17.1633,21.6646,72.2197,72.2197,72.2197
2014-06,20.1899,18.7966,22.8722,76.2428,76.2428,76.2428
2014-07,12.9528,12.0389,15.0876,50.2917,50.2917,50.2917
2014-08,25.807000000000002,23.7673,29.9423,99.8048,99.8048,99.8048
2014-09,25.8196,23.9636,30.6331,102.1122,102.1122,102.1122
2014-10,41.922399999999996,38.2932,48.2692,160.8947,160.8947,160.8947
2014-11,29.954700000000003,25.825,32.8106,109.3672,109.3672,109.3672
2014-12,42.311,37.9191,48.966899999999995,163.225,163.225,163.225
2015-01,23.0899,20.8581,25.5386,85.1309,85.1309,85.1309
2015-02,22.1068,19.3262,24.5803,81.9402,81.9402,81.9402
2015-03,54.1487,48.635999999999996,63.3334,211.11180000000002,211.11180000000002,211.11180000000002
2015-04,11.6531,10.5917,14.5479,48.4881,48.4881,48.4881
2015-05,10.4664,9.1596,12.872,42.9101,42.9101,42.9101
2015-06,34.2253,31.8502,40.3015,134.3397,134.3397,134.3397
