label,cost_Economy_7,cost_Economy_10,cost_Standard,energy_Economy_7,energy_Economy_10,energy_Standard
Appliance1 (Fridge-Freezer),117.6446,109.0576,137.451,458.1726,458.1726,458.1726
Appliance2 (Tumble Dryer),47.6855,40.5958,48.2038,160.6805,160.6805,160.6805
Appliance3 (Washing Machine),24.6838,21.8332,28.1534,93.8438,93.8438,93.8438
Appliance4 (Dishwasher),84.6008,76.3939,105.8915,352.9925,352.9925,352.9925
Appliance5 (Food Mixer),0.167,0.1455,0.1689,0.5634,0.5634,0.5634
Appliance6 (Television),19.7966,16.8239,20.4894,68.2958,68.2958,68.2958
Appliance7 (Toaster),11.3419,11.0579,12.1223,40.4063,40.4063,40.4063
Appliance8 (Vivarium),51.6974,47.9383,60.7402,202.468,202.468,202.468
Appliance9 (Pond Pump),69.4443,64.6007,81.9768,273.2559,273.2559,273.2559
Total,427.0619,388.4468,495.19730000000004,1650.6788000000001,1650.6788000000001,1650.6788000000001
