event_id,appliance_name,appliance_id,original_start_time,original_end_time,optimized_start_time,optimized_end_time,duration_minutes,original_cost,optimized_cost,cost_savings,savings_percentage,time_shift_hours,power_profile_points
Tumble_Dryer_2014-03-31_01,Tumble Dryer,Appliance3,2014-03-31 16:50:00,2014-03-31 17:05:00,2014-03-31 20:05:00,2014-03-31 20:20:00,15,0.03263235912698412,0.01631617956349206,0.01631617956349206,50.0,3.25,15
Tumble_Dryer_2014-03-31_02,Tumble Dryer,Appliance3,2014-03-31 17:07:00,2014-03-31 17:18:00,2014-03-31 20:22:00,2014-03-31 20:33:00,11,0.01292,0.00646,0.00646,50.0,3.25,3
Tumble_Dryer_2014-03-31_03,Tumble Dryer,Appliance3,2014-03-31 17:19:00,2014-03-31 17:34:00,2014-03-31 20:34:00,2014-03-31 20:49:00,15,0.005261791666666666,0.002630895833333333,0.002630895833333333,50.0,3.25,7
Tumble_Dryer_2014-06-05_01,Tumble Dryer,Appliance3,2014-06-05 16:08:00,2014-06-05 16:15:00,2014-06-05 20:08:00,2014-06-05 20:15:00,7,0.006807777777777778,0.003403888888888889,0.003403888888888889,50.0,4.0,7
Tumble_Dryer_2014-06-09_01,Tumble Dryer,Appliance3,2014-06-09 09:30:00,2014-06-09 09:37:00,2014-06-09 13:00:00,2014-06-09 13:07:00,7,0.033368875,0.0166844375,0.0166844375,50.0,3.5,7
Tumble_Dryer_2014-07-17_02,Tumble Dryer,Appliance3,2014-07-17 14:42:00,2014-07-17 16:47:00,2014-07-17 19:57:00,2014-07-17 22:02:00,125,0.005629551587301589,0.004194123015873017,0.0014354285714285719,25.498097835472812,5.25,125
Tumble_Dryer_2014-11-03_01,Tumble Dryer,Appliance3,2014-11-03 18:03:00,2014-11-03 19:10:00,2014-11-03 20:03:00,2014-11-03 21:10:00,67,0.6813750317460318,0.3406875158730159,0.3406875158730159,50.0,2.0,67
Tumble_Dryer_2014-12-05_01,Tumble Dryer,Appliance3,2014-12-05 19:12:00,2014-12-05 19:50:00,2014-12-05 20:12:00,2014-12-05 20:50:00,38,0.4094374166666666,0.2047187083333333,0.2047187083333333,50.0,1.0,38
Tumble_Dryer_2014-12-10_01,Tumble Dryer,Appliance3,2014-12-10 12:41:00,2014-12-10 12:56:00,2014-12-10 13:11:00,2014-12-10 13:26:00,15,0.1753320436507937,0.08766602182539684,0.08766602182539684,50.0,0.5,15
Tumble_Dryer_2014-12-10_02,Tumble Dryer,Appliance3,2014-12-10 16:40:00,2014-12-10 18:40:00,2014-12-10 19:55:00,2014-12-10 21:55:00,120,1.161084347222222,0.6063627638888888,0.5547215833333333,47.77616584535388,3.25,120
Tumble_Dryer_2014-12-13_01,Tumble Dryer,Appliance3,2014-12-13 15:59:00,2014-12-13 17:39:00,2014-12-13 20:14:00,2014-12-13 21:54:00,100,0.9511449404761904,0.4769659424603174,0.47417899801587293,49.85349528101105,4.25,100
Tumble_Dryer_2014-12-24_01,Tumble Dryer,Appliance3,2014-12-24 17:11:00,2014-12-24 17:27:00,2014-12-24 20:11:00,2014-12-24 20:27:00,16,0.1701579861111111,0.08507899305555555,0.08507899305555555,50.0,3.0,16
Tumble_Dryer_2014-12-24_02,Tumble Dryer,Appliance3,2014-12-24 19:43:00,2014-12-24 19:58:00,2014-12-24 20:28:00,2014-12-24 20:43:00,15,0.1581885515873016,0.0790942757936508,0.0790942757936508,50.0,0.75,15
Tumble_Dryer_2014-12-30_01,Tumble Dryer,Appliance3,2014-12-30 10:43:00,2014-12-30 12:42:00,2014-12-30 13:13:00,2014-12-30 15:12:00,119,0.9892138194444445,0.49460690972222227,0.49460690972222227,50.0,2.5,119
