month,cost_TOU_D,cost_TOU_D_Base,energy_TOU_D,energy_TOU_D_Base
2013-11,138.259,183.2746,305.4581,305.4581
2013-12,20.46,27.7122,46.187599999999996,46.187599999999996
2014-01,17.532,23.8421,39.7364,39.7364
2014-03,20.0723,27.0926,45.1512,45.1512
2014-04,23.7382,32.0883,53.4775,53.4775
2014-05,23.4514,31.4443,52.4057,52.4057
2014-06,23.4492,30.9391,51.5631,51.5631
2014-07,24.3081,32.2762,53.7933,53.7933
2014-08,25.0422,33.7102,56.1836,56.1836
2014-09,22.6735,29.8076,49.681,49.681
2014-10,50.5454,67.5071,112.50710000000001,112.50710000000001
2014-11,30.9526,41.7282,69.54400000000001,69.54400000000001
2014-12,63.02799999999999,83.9127,139.853,139.853
2015-01,38.9024,52.369,87.2822,87.2822
2015-02,20.598,27.9087,46.5134,46.5134
2015-03,18.4424,24.9822,41.6355,41.6355
2015-04,26.8509,35.8401,59.7361,59.7361
2015-05,21.3394,28.7188,47.863,47.863
2015-06,16.4914,21.7079,36.187,36.187
