label,cost_Economy_7,cost_Economy_10,cost_Standard,energy_Economy_7,energy_Economy_10,energy_Standard
Appliance1 (Fridge-Freezer),134.7743,124.1421,156.1706,520.5688,520.5688,520.5688
Appliance2 (Washing Machine),16.1948,15.5079,17.7859,59.2859,59.2859,59.2859
Appliance3 (Television Site),38.9568,35.4431,44.4197,148.0656,148.0656,148.0656
Appliance4 (Microwave),7.8391,7.0559,7.8759,26.2543,26.2543,26.2543
Appliance5 (Kettle),15.008,14.0165,15.4299,51.4285,51.4285,51.4285
Appliance6 (Toaster),4.0409,3.7681,4.269,14.2262,14.2262,14.2262
Appliance7 (Bread-maker),8.5837,11.2536,13.8139,46.0342,46.0342,46.0342
Appliance8 (Lamp),8.7946,7.8527,8.9383,29.7946,29.7946,29.7946
Appliance9 (Hi-Fi),0.6879,0.5569,0.6908,2.3051,2.3051,2.3051
Total,234.88010000000006,219.5968,269.39400000000006,897.9631999999999,897.9631999999999,897.9631999999999
