month,cost_TOU_D,cost_TOU_D_Base,energy_TOU_D,energy_TOU_D_Base
2013-11,162.6718,218.6103,364.3523,364.3523
2013-12,31.3142,42.8054,71.3423,71.3423
2014-01,18.4628,25.2595,42.0981,42.0981
2014-03,25.0451,34.2113,57.0184,57.0184
2014-04,70.79390000000001,93.51100000000001,155.85399999999998,155.85399999999998
2014-05,27.544,37.7674,62.945100000000004,62.945100000000004
2014-06,30.0291,42.0007,70.0044,70.0044
2014-07,25.13,34.5709,57.6165,57.6165
2014-08,75.0833,93.9216,156.5378,156.5378
2014-09,27.6734,38.4644,64.108,64.108
2014-10,26.2589,35.7532,59.5888,59.5888
2014-11,29.604,40.3295,67.2136,67.2136
2014-12,31.9707,43.7833,72.973,72.973
2015-01,32.0406,43.3037,72.1741,72.1741
2015-02,54.3229,72.2738,120.454,120.454
2015-03,28.9765,39.6384,66.0643,66.0643
2015-04,25.0862,34.1847,56.9761,56.9761
2015-05,10.0774,13.7196,22.8656,22.8656
