event_id,appliance_name,appliance_id,shiftability,is_reschedulable,start_time,end_time,duration_minutes,energy_w,cost_calculated,low_price_power,high_price_power,total_minutes,missing_minutes,tariff_type
Fridge-Freezer_2014-03-07_01,Fridge-Freezer,Appliance1,Base,False,2014-03-07 22:58:00,2014-03-07 23:44:00,46.0,4055.61,0.020278036616161624,0.0,4.055607323232323,47,0,Economy_7
Fridge-Freezer_2014-03-08_01,Fridge-Freezer,Appliance1,Base,False,2014-03-08 01:01:00,2014-03-08 01:45:00,44.0,3871.47,0.00967867171717172,3.8714686868686874,0.0,45,0,Economy_7
Fridge-Freezer_2014-03-08_02,Fridge-Freezer,Appliance1,Base,False,2014-03-08 03:11:00,2014-03-08 03:54:00,43.0,3807.2,0.009517999999999999,3.8072000000000004,0.0,44,0,Economy_7
Fridge-Freezer_2014-03-08_03,Fridge-Freezer,Appliance1,Base,False,2014-03-08 05:27:00,2014-03-08 06:10:00,43.0,3853.07,0.00963268686868687,3.8530747474747473,0.0,44,0,Economy_7
Fridge-Freezer_2014-03-08_04,Fridge-Freezer,Appliance1,Base,False,2014-03-08 07:41:00,2014-03-08 08:30:00,49.0,4404.73,0.02202365151515152,0.0,4.404730303030304,50,0,Economy_7
Fridge-Freezer_2014-03-08_05,Fridge-Freezer,Appliance1,Base,False,2014-03-08 09:40:00,2014-03-08 10:26:00,46.0,3825.65,0.01912826785714286,0.0,3.8256535714285715,45,0,Economy_7
Fridge-Freezer_2014-03-08_06,Fridge-Freezer,Appliance1,Base,False,2014-03-08 11:46:00,2014-03-08 12:30:00,44.0,3977.85,0.019889237373737375,0.0,3.977847474747476,45,0,Economy_7
Fridge-Freezer_2014-03-08_07,Fridge-Freezer,Appliance1,Base,False,2014-03-08 13:50:00,2014-03-08 14:39:00,49.0,2951.66,0.014758297979797974,0.0,2.9516595959595953,34,0,Economy_7
Fridge-Freezer_2014-03-08_08,Fridge-Freezer,Appliance1,Base,False,2014-03-08 15:54:00,2014-03-08 16:39:00,45.0,3946.12,0.019730584415584417,0.0,3.946116883116883,46,0,Economy_7
Fridge-Freezer_2014-03-08_09,Fridge-Freezer,Appliance1,Base,False,2014-03-08 17:59:00,2014-03-08 18:44:00,45.0,3902.97,0.019514843434343433,0.0,3.902968686868687,46,0,Economy_7
Fridge-Freezer_2014-03-08_10,Fridge-Freezer,Appliance1,Base,False,2014-03-08 19:53:00,2014-03-08 20:34:00,41.0,3550.53,0.017752659090909086,0.0,3.5505318181818186,42,0,Economy_7
Fridge-Freezer_2014-03-08_11,Fridge-Freezer,Appliance1,Base,False,2014-03-08 21:39:00,2014-03-08 22:19:00,40.0,2586.13,0.012930650793650791,0.0,2.5861301587301586,31,0,Economy_7
Fridge-Freezer_2014-03-08_12,Fridge-Freezer,Appliance1,Base,False,2014-03-08 23:27:00,2014-03-09 00:07:00,40.0,3496.11,0.016151767676767674,0.5315070707070707,2.9646,41,0,Economy_7
Fridge-Freezer_2014-03-09_01,Fridge-Freezer,Appliance1,Base,False,2014-03-09 01:19:00,2014-03-09 01:58:00,39.0,3490.8,0.008726999999999999,3.4908,0.0,40,0,Economy_7
Fridge-Freezer_2014-03-09_02,Fridge-Freezer,Appliance1,Base,False,2014-03-09 03:13:00,2014-03-09 03:52:00,39.0,3464.8,0.008662,3.4647999999999994,0.0,40,0,Economy_7
