event_id,appliance_name,appliance_id,original_start_time,original_end_time,optimized_start_time,optimized_end_time,duration_minutes,original_cost,optimized_cost,cost_savings,savings_percentage,is_shifted
Dishwasher_2014-03-08_02,Dishwasher,Appliance4,2014-03-08 13:51:00,2014-03-08 15:17:00,2014-03-09 06:06:00,2014-03-09 07:32:00,86,0.018893946789321783,0.009591341450216449,0.009302605339105334,49.235903132546404,True
Dishwasher_2014-03-09_01,Dishwasher,Appliance4,2014-03-09 13:40:00,2014-03-09 15:04:00,2014-03-10 06:10:00,2014-03-10 07:34:00,84,0.019642579365079363,0.010087373015873015,0.009555206349206348,48.64537478307774,True
Dishwasher_2014-03-12_03,Dishwasher,Appliance4,2014-03-12 17:49:00,2014-03-12 19:08:00,2014-03-13 06:04:00,2014-03-13 07:23:00,79,0.2558532550505051,0.12792662752525255,0.12792662752525255,50.0,True
Dishwasher_2014-03-16_01,Dishwasher,Appliance4,2014-03-16 12:54:00,2014-03-16 13:56:00,2014-03-17 06:09:00,2014-03-17 07:11:00,62,0.0173203648989899,0.00866018244949495,0.00866018244949495,50.0,True
Dishwasher_2014-03-19_01,Dishwasher,Appliance4,2014-03-19 10:14:00,2014-03-19 11:15:00,2014-03-20 06:14:00,2014-03-20 07:15:00,61,0.017190748737373737,0.008595374368686869,0.008595374368686869,50.0,True
Dishwasher_2014-03-20_01,Dishwasher,Appliance4,2014-03-20 11:18:00,2014-03-20 12:18:00,2014-03-21 06:03:00,2014-03-21 07:03:00,60,0.017390111111111106,0.008695055555555553,0.008695055555555553,50.0,True
Dishwasher_2014-03-24_04,Dishwasher,Appliance4,2014-03-24 19:33:00,2014-03-24 20:35:00,2014-03-25 06:03:00,2014-03-25 07:05:00,62,0.20544747041847042,0.10272373520923521,0.10272373520923521,50.0,True
Dishwasher_2014-03-25_01,Dishwasher,Appliance4,2014-03-25 12:22:00,2014-03-25 13:22:00,2014-03-26 06:07:00,2014-03-26 07:07:00,60,0.04718780555555555,0.023593902777777776,0.023593902777777776,50.0,True
Dishwasher_2014-03-26_01,Dishwasher,Appliance4,2014-03-26 09:44:00,2014-03-26 10:46:00,2014-03-27 06:14:00,2014-03-27 07:16:00,62,0.028243114357864363,0.014121557178932181,0.014121557178932181,50.0,True
Dishwasher_2014-03-27_02,Dishwasher,Appliance4,2014-03-27 11:19:00,2014-03-27 12:21:00,2014-03-28 06:04:00,2014-03-28 07:06:00,62,0.027675767676767674,0.013837883838383837,0.013837883838383837,50.0,True
Dishwasher_2014-03-28_01,Dishwasher,Appliance4,2014-03-28 12:20:00,2014-03-28 13:22:00,2014-03-29 06:05:00,2014-03-29 07:07:00,62,0.01746436363636363,0.008732181818181814,0.008732181818181814,50.0,True
Dishwasher_2014-03-29_01,Dishwasher,Appliance4,2014-03-29 13:58:00,2014-03-29 14:59:00,2014-03-30 06:13:00,2014-03-30 07:14:00,61,0.01761692857142857,0.008808464285714286,0.008808464285714286,50.0,True
Dishwasher_2014-04-01_01,Dishwasher,Appliance4,2014-04-01 00:05:00,2014-04-01 01:08:00,2014-04-01 06:05:00,2014-04-01 07:08:00,63,0.1285236534090909,0.09986159785353535,0.028662055555555538,22.30099658334812,True
Dishwasher_2014-04-02_03,Dishwasher,Appliance4,2014-04-02 17:39:00,2014-04-02 18:41:00,2014-04-03 06:09:00,2014-04-03 07:11:00,62,0.19144755555555562,0.09572377777777781,0.09572377777777781,50.0,True
Dishwasher_2014-04-03_01,Dishwasher,Appliance4,2014-04-03 09:18:00,2014-04-03 10:19:00,2014-04-04 06:03:00,2014-04-04 07:04:00,61,0.19243397582972585,0.09621698791486293,0.09621698791486293,50.0,True
Dishwasher_2014-04-05_01,Dishwasher,Appliance4,2014-04-05 00:01:00,2014-04-05 01:01:00,2014-04-05 06:01:00,2014-04-05 07:01:00,60,0.14457278751803748,0.09250147330447331,0.052071314213564174,36.01736890289091,True
Dishwasher_2014-04-06_01,Dishwasher,Appliance4,2014-04-06 12:52:00,2014-04-06 14:07:00,2014-04-07 06:07:00,2014-04-07 07:22:00,75,0.09635868813131312,0.04817934406565656,0.04817934406565656,50.0,True
Dishwasher_2014-04-07_01,Dishwasher,Appliance4,2014-04-07 12:54:00,2014-04-07 13:54:00,2014-04-08 06:09:00,2014-04-08 07:09:00,60,0.14906801785714285,0.07453400892857143,0.07453400892857143,50.0,True
Dishwasher_2014-04-08_01,Dishwasher,Appliance4,2014-04-08 12:19:00,2014-04-08 13:42:00,2014-04-09 06:04:00,2014-04-09 07:27:00,83,0.025884505952380957,0.012942252976190479,0.012942252976190479,50.0,True
Dishwasher_2014-04-09_03,Dishwasher,Appliance4,2014-04-09 19:08:00,2014-04-09 20:31:00,2014-04-10 06:08:00,2014-04-10 07:31:00,83,0.33450776190476195,0.16727030952380953,0.16723745238095242,49.99508873237051,True
Dishwasher_2014-04-10_01,Dishwasher,Appliance4,2014-04-10 18:10:00,2014-04-10 19:26:00,2014-04-11 06:10:00,2014-04-11 07:26:00,76,0.30094499801587293,0.15047249900793647,0.15047249900793647,50.0,True
Dishwasher_2014-04-11_01,Dishwasher,Appliance4,2014-04-11 11:30:00,2014-04-11 12:29:00,2014-04-12 06:00:00,2014-04-12 06:59:00,59,0.0391139107142857,0.01955695535714285,0.01955695535714285,50.0,True
Dishwasher_2014-04-13_03,Dishwasher,Appliance4,2014-04-13 09:17:00,2014-04-13 10:10:00,2014-04-14 06:02:00,2014-04-14 06:55:00,53,0.11669736093073592,0.05834868046536796,0.05834868046536796,50.0,True
Dishwasher_2014-04-22_01,Dishwasher,Appliance4,2014-04-22 12:09:00,2014-04-22 13:11:00,2014-04-23 06:09:00,2014-04-23 07:11:00,62,0.03213780357142857,0.016068901785714285,0.016068901785714285,50.0,True
Dishwasher_2014-04-24_01,Dishwasher,Appliance4,2014-04-24 13:13:00,2014-04-24 14:37:00,2014-04-25 06:13:00,2014-04-25 07:37:00,84,0.04041385515873014,0.020608927579365072,0.019804927579365066,49.00529162976138,True
Dishwasher_2014-04-25_01,Dishwasher,Appliance4,2014-04-25 15:09:00,2014-04-25 16:11:00,2014-04-26 06:09:00,2014-04-26 07:11:00,62,0.212615527056277,0.1063077635281385,0.1063077635281385,50.0,True
Dishwasher_2014-04-26_01,Dishwasher,Appliance4,2014-04-26 14:44:00,2014-04-26 15:45:00,2014-04-27 06:14:00,2014-04-27 07:15:00,61,0.0156704126984127,0.00783520634920635,0.00783520634920635,50.0,True
Dishwasher_2014-04-27_01,Dishwasher,Appliance4,2014-04-27 12:50:00,2014-04-27 13:53:00,2014-04-28 06:05:00,2014-04-28 07:08:00,63,0.1615912301587302,0.0807956150793651,0.0807956150793651,50.0,True
Dishwasher_2014-04-28_01,Dishwasher,Appliance4,2014-04-28 10:03:00,2014-04-28 10:54:00,2014-04-29 06:03:00,2014-04-29 06:54:00,51,0.012997087148962149,0.0064985435744810745,0.0064985435744810745,50.0,True
Dishwasher_2014-04-29_04,Dishwasher,Appliance4,2014-04-29 17:55:00,2014-04-29 18:56:00,2014-04-30 06:10:00,2014-04-30 07:11:00,61,0.17849008134920633,0.08924504067460316,0.08924504067460316,50.0,True
Dishwasher_2014-04-30_01,Dishwasher,Appliance4,2014-04-30 13:04:00,2014-04-30 14:04:00,2014-05-01 06:04:00,2014-05-01 07:04:00,60,0.01660265025252525,0.008301325126262625,0.008301325126262625,50.0,True
Dishwasher_2014-05-01_01,Dishwasher,Appliance4,2014-05-01 10:46:00,2014-05-01 11:45:00,2014-05-02 06:01:00,2014-05-02 07:00:00,59,0.017154960317460315,0.008577480158730158,0.008577480158730158,50.0,True
Dishwasher_2014-05-02_02,Dishwasher,Appliance4,2014-05-02 22:44:00,2014-05-03 00:07:00,2014-05-03 06:14:00,2014-05-03 07:37:00,83,0.3385279265873015,0.19060172519841273,0.1479262013888888,43.696897588370966,True
Dishwasher_2014-05-03_01,Dishwasher,Appliance4,2014-05-03 10:10:00,2014-05-03 11:09:00,2014-05-04 06:10:00,2014-05-04 07:09:00,59,0.016263735569985564,0.008131867784992782,0.008131867784992782,50.0,True
Dishwasher_2014-05-06_01,Dishwasher,Appliance4,2014-05-06 18:07:00,2014-05-06 19:30:00,2014-05-07 06:07:00,2014-05-07 07:30:00,83,0.33329179960317445,0.16664589980158723,0.16664589980158723,50.0,True
Dishwasher_2014-05-08_01,Dishwasher,Appliance4,2014-05-08 00:01:00,2014-05-08 01:01:00,2014-05-08 06:01:00,2014-05-08 07:01:00,60,0.14279265476190467,0.09215866666666668,0.05063398809523799,35.45979881084648,True
Dishwasher_2014-05-10_01,Dishwasher,Appliance4,2014-05-10 13:05:00,2014-05-10 14:01:00,2014-05-11 06:05:00,2014-05-11 07:01:00,56,0.03307683928571428,0.01653841964285714,0.01653841964285714,50.0,True
Dishwasher_2014-05-12_01,Dishwasher,Appliance4,2014-05-12 00:17:00,2014-05-12 01:10:00,2014-05-12 06:02:00,2014-05-12 06:55:00,53,0.06836184226190475,0.06635819047619047,0.0020036517857142805,2.9309505411483525,True
Dishwasher_2014-05-14_01,Dishwasher,Appliance4,2014-05-14 00:08:00,2014-05-14 01:31:00,2014-05-14 06:08:00,2014-05-14 07:31:00,83,0.18676215376984118,0.16867476488095237,0.018087388888888806,9.684718516996243,True
Dishwasher_2014-05-15_01,Dishwasher,Appliance4,2014-05-15 00:24:00,2014-05-15 00:45:00,2014-05-15 06:09:00,2014-05-15 06:30:00,21,0.0834125,0.072796875,0.010615625000000004,12.726659673310358,True
Dishwasher_2014-05-16_01,Dishwasher,Appliance4,2014-05-16 14:55:00,2014-05-16 15:54:00,2014-05-17 06:10:00,2014-05-17 07:09:00,59,0.014007623376623373,0.007003811688311687,0.007003811688311687,50.0,True
Dishwasher_2014-05-17_01,Dishwasher,Appliance4,2014-05-17 08:44:00,2014-05-17 09:43:00,2014-05-18 06:14:00,2014-05-18 07:13:00,59,0.01094925,0.005474625,0.005474625,50.0,True
Dishwasher_2014-05-18_01,Dishwasher,Appliance4,2014-05-18 09:54:00,2014-05-18 10:53:00,2014-05-19 06:09:00,2014-05-19 07:08:00,59,0.03211516865079365,0.016057584325396824,0.016057584325396824,50.0,True
Dishwasher_2014-05-21_01,Dishwasher,Appliance4,2014-05-21 11:45:00,2014-05-21 13:05:00,2014-05-22 06:00:00,2014-05-22 07:20:00,80,0.01899466053391053,0.009497330266955265,0.009497330266955265,50.0,True
Dishwasher_2014-05-24_01,Dishwasher,Appliance4,2014-05-24 00:27:00,2014-05-24 01:47:00,2014-05-24 06:12:00,2014-05-24 07:32:00,80,0.15994487003968252,0.15982373511904763,0.00012113492063489661,0.07573542096401271,True
Dishwasher_2014-05-25_01,Dishwasher,Appliance4,2014-05-25 10:48:00,2014-05-25 12:06:00,2014-05-26 06:03:00,2014-05-26 07:21:00,78,0.01835169444444444,0.00917584722222222,0.00917584722222222,50.0,True
Dishwasher_2014-05-27_01,Dishwasher,Appliance4,2014-05-27 08:16:00,2014-05-27 09:16:00,2014-05-28 06:01:00,2014-05-28 07:01:00,60,0.0257435753968254,0.0128717876984127,0.0128717876984127,50.0,True
Dishwasher_2014-05-29_04,Dishwasher,Appliance4,2014-05-29 11:03:00,2014-05-29 12:02:00,2014-05-30 06:03:00,2014-05-30 07:02:00,59,0.16058250396825394,0.08029125198412697,0.08029125198412697,50.0,True
Dishwasher_2014-05-30_02,Dishwasher,Appliance4,2014-05-30 13:55:00,2014-05-30 15:18:00,2014-05-31 06:10:00,2014-05-31 07:33:00,83,0.35474883730158724,0.1796295972222222,0.17511924007936505,49.3642886644583,True
Dishwasher_2014-05-31_01,Dishwasher,Appliance4,2014-05-31 17:49:00,2014-05-31 19:11:00,2014-06-01 06:04:00,2014-06-01 07:26:00,82,0.3391794523809524,0.1695897261904762,0.1695897261904762,50.0,True
Dishwasher_2014-06-01_01,Dishwasher,Appliance4,2014-06-01 16:07:00,2014-06-01 17:06:00,2014-06-02 06:07:00,2014-06-02 07:06:00,59,0.05475841666666667,0.027379208333333335,0.027379208333333335,50.0,True
Dishwasher_2014-06-02_01,Dishwasher,Appliance4,2014-06-02 00:21:00,2014-06-02 00:40:00,2014-06-02 06:06:00,2014-06-02 06:25:00,19,0.09089702182539686,0.06591944543650795,0.02497757638888891,27.478982135265195,True
Dishwasher_2014-06-03_01,Dishwasher,Appliance4,2014-06-03 06:39:00,2014-06-03 08:00:00,2014-06-04 06:09:00,2014-06-04 07:30:00,81,0.08976569543650793,0.08886685615079365,0.0008988392857142841,1.0013171304956259,True
Dishwasher_2014-06-04_01,Dishwasher,Appliance4,2014-06-04 17:40:00,2014-06-04 18:40:00,2014-06-05 06:10:00,2014-06-05 07:10:00,60,0.1817843472222222,0.0908921736111111,0.0908921736111111,50.0,True
Dishwasher_2014-06-05_01,Dishwasher,Appliance4,2014-06-05 18:17:00,2014-06-05 19:38:00,2014-06-06 06:02:00,2014-06-06 07:23:00,81,0.31762600595238094,0.15881300297619047,0.15881300297619047,50.0,True
Dishwasher_2014-06-06_01,Dishwasher,Appliance4,2014-06-06 08:53:00,2014-06-06 09:52:00,2014-06-07 06:08:00,2014-06-07 07:07:00,59,0.017242230158730165,0.008621115079365083,0.008621115079365083,50.0,True
Dishwasher_2014-06-07_01,Dishwasher,Appliance4,2014-06-07 09:30:00,2014-06-07 10:30:00,2014-06-08 06:00:00,2014-06-08 07:00:00,60,0.18019350396825398,0.09009675198412699,0.09009675198412699,50.0,True
Dishwasher_2014-06-08_01,Dishwasher,Appliance4,2014-06-08 16:50:00,2014-06-08 17:43:00,2014-06-09 06:05:00,2014-06-09 06:58:00,53,0.12756248412698415,0.06378124206349207,0.06378124206349207,50.0,True
Dishwasher_2014-06-09_01,Dishwasher,Appliance4,2014-06-09 00:07:00,2014-06-09 01:05:00,2014-06-09 06:07:00,2014-06-09 07:05:00,58,0.11901621230158732,0.0907206884920635,0.028295523809523826,23.774512112537167,True
Dishwasher_2014-06-10_01,Dishwasher,Appliance4,2014-06-10 18:55:00,2014-06-10 20:16:00,2014-06-11 06:10:00,2014-06-11 07:31:00,81,0.31166617766955257,0.15586708883477632,0.15579908883477625,49.98909089197478,True
Dishwasher_2014-06-11_01,Dishwasher,Appliance4,2014-06-11 10:13:00,2014-06-11 11:31:00,2014-06-12 06:13:00,2014-06-12 07:31:00,78,0.015286603174603175,0.007672111111111111,0.007614492063492064,49.81153743915203,True
Dishwasher_2014-06-12_01,Dishwasher,Appliance4,2014-06-12 18:30:00,2014-06-12 19:21:00,2014-06-13 06:00:00,2014-06-13 06:51:00,51,0.12324995075757576,0.06162497537878788,0.06162497537878788,50.0,True
Dishwasher_2014-06-13_01,Dishwasher,Appliance4,2014-06-13 07:46:00,2014-06-13 09:05:00,2014-06-14 06:01:00,2014-06-14 07:20:00,79,0.018582099567099556,0.009291049783549778,0.009291049783549778,50.0,True
Dishwasher_2014-06-14_01,Dishwasher,Appliance4,2014-06-14 12:22:00,2014-06-14 13:41:00,2014-06-15 06:07:00,2014-06-15 07:26:00,79,0.06395336706349208,0.03197668353174604,0.03197668353174604,50.0,True
Dishwasher_2014-06-15_02,Dishwasher,Appliance4,2014-06-15 13:41:00,2014-06-15 14:39:00,2014-06-16 06:11:00,2014-06-16 07:09:00,58,0.09852020634920634,0.04926010317460317,0.04926010317460317,50.0,True
Dishwasher_2014-06-16_01,Dishwasher,Appliance4,2014-06-16 10:12:00,2014-06-16 11:10:00,2014-06-17 06:12:00,2014-06-17 07:10:00,58,0.07797354491341991,0.03898677245670996,0.03898677245670996,50.0,True
