label,cost_Economy_7,cost_Economy_10,cost_Standard,energy_Economy_7,energy_Economy_10,energy_Standard
Appliance1 (Magimix (Blender)),40.4612,36.5984,45.9164,153.0719,153.0719,153.0719
Appliance2 (Freezer),46.7091,43.1219,54.2075,180.7023,180.7023,180.7023
Appliance3 (Chest Freezer (In Garage)),139.6662,128.531,162.3951,541.3092,541.3092,541.3092
Appliance4 (Fridge-Freezer),74.9728,68.9713,86.4267,288.0909,288.0909,288.0909
Appliance5 (Washing Machine),118.9918,102.2526,119.5274,398.4296,398.4296,398.4296
Appliance6 (Dishwasher),447.1231,407.062,509.5591,1698.5586,1698.5586,1698.5586
Appliance7 (Television Site),184.3701,164.9683,209.0621,696.8739,696.8739,696.8739
Appliance8 (Microwave),10.074,8.792,10.7527,35.8431,35.8431,35.8431
Appliance9 (Kenwood KMix),10.2642,9.5221,10.6302,35.4365,35.4365,35.4365
Total,1072.6325000000002,969.8196000000002,1208.4772,4028.3160000000003,4028.3160000000003,4028.3160000000003
