month,cost_Economy_7,cost_Economy_10,cost_Standard,energy_Economy_7,energy_Economy_10,energy_Standard
2013-11,64.52470000000001,57.340999999999994,72.4172,241.3988,241.3988,241.3988
2013-12,45.745,38.8179,49.3564,164.5253,164.5253,164.5253
2014-01,34.009,29.6865,36.689099999999996,122.2963,122.2963,122.2963
2014-02,344.6278,318.6599,403.1465,1343.8239,1343.8239,1343.8239
2014-03,0.7815,0.7483,0.7815,2.6055,2.6055,2.6055
2014-04,45.2948,41.947,49.3213,164.4126,164.4126,164.4126
2014-05,101.2313,91.5359,113.4322,378.11690000000004,378.11690000000004,378.11690000000004
2014-06,65.3307,60.718999999999994,74.0179,246.7396,246.7396,246.7396
2014-07,20.4509,18.2637,21.5492,71.8343,71.8343,71.8343
2014-08,28.3223,25.8167,30.9466,103.1611,103.1611,103.1611
2014-09,39.6125,36.6961,42.4037,141.3497,141.3497,141.3497
2014-10,41.0019,35.1076,44.8872,149.6237,149.6237,149.6237
2014-11,59.2188,52.2393,65.1773,217.2621,217.2621,217.2621
2014-12,30.2133,25.6234,32.1119,107.0411,107.0411,107.0411
2015-01,27.1966,23.1943,29.0244,96.7483,96.7483,96.7483
2015-02,50.868700000000004,45.767300000000006,58.1242,193.7385,193.7385,193.7385
2015-03,27.2307,24.9171,31.4924,104.981,104.981,104.981
2015-04,25.0161,22.955,28.6076,95.3577,95.3577,95.3577
2015-05,17.6072,15.839599999999999,20.0897,66.9624,66.9624,66.9624
2015-06,4.3487,3.944,4.9009,16.3372,16.3372,16.3372
