label,cost_TOU_D,cost_TOU_D_Base,energy_TOU_D,energy_TOU_D_Base
Appliance1 (Fridge),102.0919,137.3726,228.9523,228.9523
Appliance2 (Chest Freezer),96.9222,130.6448,217.7443,217.7443
Appliance3 (Upright Freezer),171.7739,231.5184,385.8577,385.8577
Appliance4 (Tumble Dryer),7.2505,10.1291,16.8818,16.8818
Appliance5 (Washing Machine),53.954,76.1616,126.9365,126.9365
Appliance6 (Dishwasher),61.1731,86.2043,143.6733,143.6733
Appliance7 (Computer Site),15.1246,19.2126,32.021,32.021
Appliance8 (Television Site),36.4524,47.0578,78.4162,78.4162
Appliance9 (Electric Heater),366.646,509.6105,849.3531,849.3531
Total,911.3886,1247.9117,2079.8361999999997,2079.8361999999997
