month,cost_TOU_D,cost_TOU_D_Base,energy_TOU_D,energy_TOU_D_Base
2013-10,15.3677,20.8391,34.7316,34.7316
2013-11,75.89320000000001,105.0102,175.0137,175.0137
2013-12,98.9479,136.9284,228.2157,228.2157
2014-01,68.5322,94.9549,158.2563,158.2563
2014-03,72.1316,99.9518,166.5824,166.5824
2014-04,38.4824,52.702,87.8359,87.8359
2014-05,27.4566,37.2592,62.0968,62.0968
2014-06,30.8067,41.2647,68.7735,68.7735
2014-07,35.9966,48.3609,80.6003,80.6003
2014-08,31.406,42.1997,70.3323,70.3323
2014-09,30.5936,41.1063,68.5079,68.5079
2014-10,27.2473,36.9827,61.6359,61.6359
2014-11,32.1349,43.8038,73.0056,73.0056
2014-12,55.6257,76.5499,127.5845,127.5845
2015-01,29.8698,40.6597,67.767,67.767
2015-02,58.3368,79.8218,133.0398,133.0398
2015-03,86.7755,119.4691,199.1135,199.1135
2015-04,44.0184,60.17,100.2803,100.2803
2015-05,21.3778,29.0237,48.3762,48.3762
2015-06,19.6126,26.3779,43.9614,43.9614
2015-07,10.7753,14.4759,24.1256,24.1256
