month,cost_Germany_Variable,cost_Germany_Variable_Base,energy_Germany_Variable,energy_Germany_Variable_Base
2013-12,30.1369,34.1598,100.4705,100.4705
2014-01,31.5091,37.0908,109.0934,109.0934
2014-03,36.321600000000004,42.8523,126.0378,126.0378
2014-04,33.8023,38.765,114.01580000000001,114.01580000000001
2014-05,46.8296,53.9457,158.6636,158.6636
2014-06,38.5164,44.7367,131.5777,131.5777
2014-07,46.9353,54.13,159.203,159.203
2014-08,28.0004,32.1219,94.4715,94.4715
2014-09,42.3536,48.4728,142.5688,142.5688
2014-10,46.4515,54.0397,158.94,158.94
2014-11,55.5783,64.3399,189.23090000000002,189.23090000000002
2014-12,49.9818,57.3512,168.6832,168.6832
2015-01,39.4181,44.8099,131.7938,131.7938
2015-02,59.3535,69.4773,204.3427,204.3427
2015-03,37.1719,43.6708,128.4498,128.4498
2015-04,28.3086,32.6553,96.0506,96.0506
2015-05,31.2827,35.5696,104.6149,104.6149
2015-06,28.173099999999998,32.6346,95.988,95.988
2015-07,10.1417,11.488,33.7889,33.7889
