month,cost_Economy_7,cost_Economy_10,cost_Standard,energy_Economy_7,energy_Economy_10,energy_Standard
2013-09,12.3768,10.8682,13.1004,43.6657,43.6657,43.6657
2013-10,21.0492,18.3572,22.3824,74.6078,74.6078,74.6078
2013-12,0.2631,0.1348,0.2631,0.8771,0.8771,0.8771
2014-02,3.7338,2.7941000000000003,3.8151,12.7186,12.7186,12.7186
2014-03,32.3829,27.628800000000002,33.769,112.559,112.559,112.559
2014-04,25.811,23.4305,27.7244,92.4145,92.4145,92.4145
2014-05,28.6143,25.7539,30.6464,102.1517,102.1517,102.1517
2014-06,26.3765,23.3139,28.2104,94.0353,94.0353,94.0353
2014-07,23.6647,22.2119,25.8247,86.0843,86.0843,86.0843
2014-08,21.0226,19.8371,22.996,76.6549,76.6549,76.6549
2014-09,30.1327,27.4582,32.4784,108.2625,108.2625,108.2625
2014-10,31.8645,27.796,33.4281,111.42320000000001,111.42320000000001,111.42320000000001
2014-11,26.7853,22.5682,27.7464,92.4843,92.4843,92.4843
2014-12,30.2881,26.5504,31.7245,105.7488,105.7488,105.7488
2015-01,39.4686,34.8506,42.9617,143.2045,143.2045,143.2045
2015-02,27.1812,24.0779,28.3429,94.4764,94.4764,94.4764
2015-03,27.0106,24.3865,28.5776,95.2577,95.2577,95.2577
2015-04,29.857400000000002,25.9506,31.061,103.5342,103.5342,103.5342
2015-05,13.3825,12.611,14.853,49.5109,49.5109,49.5109
