appliance_id,appliance_name,month,cost_Economy_7,cost_Economy_10,cost_Standard,energy_Economy_7,energy_Economy_10,energy_Standard
Appliance1,Fridge-Freezer,2013-09,2.8376,2.626,3.2439999999999998,10.8103,10.8103,10.8103
Appliance1,Fridge-Freezer,2013-10,5.1492,4.8085,5.9489,19.8284,19.8284,19.8284
Appliance1,Fridge-Freezer,2013-12,0.0344,0.0178,0.0344,0.1148,0.1148,0.1148
Appliance1,Fridge-Freezer,2014-02,0.7995,0.693,0.8756,2.9198,2.9198,2.9198
Appliance1,Fridge-Freezer,2014-03,6.3925,5.7913,7.2114,24.0363,24.0363,24.0363
Appliance1,Fridge-Freezer,2014-04,5.9059,5.4825,6.8114,22.7066,22.7066,22.7066
Appliance1,Fridge-Freezer,2014-05,6.9022,6.3861,7.9258,26.4174,26.4174,26.4174
Appliance1,Fridge-Freezer,2014-06,7.606,6.9296,8.6341,28.7814,28.7814,28.7814
Appliance1,Fridge-Freezer,2014-07,8.5571,7.8535,9.8008,32.6701,32.6701,32.6701
Appliance1,Fridge-Freezer,2014-08,7.009,6.5047,8.1141,27.048000000000002,27.048000000000002,27.048000000000002
Appliance1,Fridge-Freezer,2014-09,7.0669,6.3877,7.9981,26.6584,26.6584,26.6584
Appliance1,Fridge-Freezer,2014-10,6.3932,5.8164,7.2974,24.3231,24.3231,24.3231
Appliance1,Fridge-Freezer,2014-11,5.5912,5.0117,6.2943,20.9817,20.9817,20.9817
Appliance1,Fridge-Freezer,2014-12,5.7455,5.2466,6.4931,21.643,21.643,21.643
Appliance1,Fridge-Freezer,2015-01,6.2577,5.7046,7.0795,23.5965,23.5965,23.5965
Appliance1,Fridge-Freezer,2015-02,5.5816,5.1327,6.3216,21.0741,21.0741,21.0741
Appliance1,Fridge-Freezer,2015-03,5.6739,5.2256,6.4847,21.6182,21.6182,21.6182
Appliance1,Fridge-Freezer,2015-04,5.6055,5.1485,6.4032,21.3448,21.3448,21.3448
Appliance1,Fridge-Freezer,2015-05,3.9538,3.6613,4.5917,15.3049,15.3049,15.3049
Appliance2,Washing Machine,2013-09,1.7457,1.5162,1.7457,5.8191,5.8191,5.8191
Appliance2,Washing Machine,2013-10,3.8857,2.9852,3.9466,13.1558,13.1558,13.1558
Appliance2,Washing Machine,2013-12,0.1881,0.0966,0.1881,0.6269,0.6269,0.6269
Appliance2,Washing Machine,2014-02,0.3929,0.2551,0.3929,1.3094000000000001,1.3094000000000001,1.3094000000000001
Appliance2,Washing Machine,2014-03,4.0893999999999995,3.4159,4.1089,13.6967,13.6967,13.6967
Appliance2,Washing Machine,2014-04,3.9348,3.3468999999999998,4.1081,13.693999999999999,13.693999999999999,13.693999999999999
Appliance2,Washing Machine,2014-05,3.879,3.2546,4.0137,13.3791,13.3791,13.3791
Appliance2,Washing Machine,2014-06,3.0073,3.1037,3.226,10.753,10.753,10.753
Appliance2,Washing Machine,2014-07,2.1574,1.9692,2.1618,7.2059999999999995,7.2059999999999995,7.2059999999999995
Appliance2,Washing Machine,2014-08,2.3306,2.4169,2.5951,8.649799999999999,8.649799999999999,8.649799999999999
Appliance2,Washing Machine,2014-09,3.8463,3.6565,4.1526,13.8433,13.8433,13.8433
Appliance2,Washing Machine,2014-10,3.9177,3.0044,3.9177,13.059,13.059,13.059
Appliance2,Washing Machine,2014-11,3.7357,3.058,3.7357,12.451500000000001,12.451500000000001,12.451500000000001
Appliance2,Washing Machine,2014-12,3.0161000000000002,2.4401,3.0161000000000002,10.0531,10.0531,10.0531
Appliance2,Washing Machine,2015-01,4.0471,3.4742,4.0471,13.4903,13.4903,13.4903
Appliance2,Washing Machine,2015-02,4.0344,3.2083,4.0344,13.4476,13.4476,13.4476
Appliance2,Washing Machine,2015-03,4.6066,3.5944,4.6222,15.4073,15.4073,15.4073
Appliance2,Washing Machine,2015-04,3.8692,3.2111,3.8692,12.8969,12.8969,12.8969
Appliance2,Washing Machine,2015-05,1.5869,1.5475,1.9562,6.5208,6.5208,6.5208
Appliance3,Dishwasher,2013-09,4.7269,3.8165999999999998,4.801,16.0036,16.0036,16.0036
Appliance3,Dishwasher,2013-10,7.444,6.1498,7.4472,24.8231,24.8231,24.8231
Appliance3,Dishwasher,2014-02,1.7570000000000001,1.2032,1.7570000000000001,5.8568999999999996,5.8568999999999996,5.8568999999999996
Appliance3,Dishwasher,2014-03,15.1823,12.2666,15.1824,50.6071,50.6071,50.6071
Appliance3,Dishwasher,2014-04,11.1099,9.8031,11.3611,37.869,37.869,37.869
Appliance3,Dishwasher,2014-05,13.1265,11.5214,13.3777,44.5914,44.5914,44.5914
Appliance3,Dishwasher,2014-06,10.83,8.5451,10.8328,36.109300000000005,36.109300000000005,36.109300000000005
Appliance3,Dishwasher,2014-07,8.9319,8.3018,9.2651,30.8844,30.8844,30.8844
Appliance3,Dishwasher,2014-08,7.2551,6.6821,7.3436,24.4798,24.4798,24.4798
Appliance3,Dishwasher,2014-09,11.2876,9.8668,11.6721,38.907000000000004,38.907000000000004,38.907000000000004
Appliance3,Dishwasher,2014-10,11.902800000000001,10.3212,11.9494,39.8297,39.8297,39.8297
Appliance3,Dishwasher,2014-11,11.5196,9.0752,11.5755,38.5835,38.5835,38.5835
Appliance3,Dishwasher,2014-12,13.9238,11.7847,14.066,46.8882,46.8882,46.8882
Appliance3,Dishwasher,2015-01,21.1071,18.4418,23.3785,77.9281,77.9281,77.9281
Appliance3,Dishwasher,2015-02,11.388300000000001,10.0508,11.4894,38.296,38.296,38.296
Appliance3,Dishwasher,2015-03,11.6677,10.8293,11.9524,39.841,39.841,39.841
Appliance3,Dishwasher,2015-04,14.5585,12.3057,14.5587,48.5296,48.5296,48.5296
Appliance3,Dishwasher,2015-05,5.1676,4.8979,5.4612,18.2044,18.2044,18.2044
Appliance4,Television,2013-09,0.5634,0.5336,0.609,2.0301,2.0301,2.0301
Appliance4,Television,2013-10,0.8708,0.8101,0.9579,3.1939,3.1939,3.1939
Appliance4,Television,2014-02,0.1471,0.1277,0.1471,0.4899,0.4899,0.4899
Appliance4,Television,2014-03,0.9625,0.8625,0.9725,3.2411,3.2411,3.2411
Appliance4,Television,2014-04,0.5039,0.566,0.6058,2.0198,2.0198,2.0198
Appliance4,Television,2014-05,0.7274,0.7,0.8275,2.7585,2.7585,2.7585
Appliance4,Television,2014-06,0.6987,0.6759000000000001,0.803,2.6778,2.6778,2.6778
Appliance4,Television,2014-07,0.7111,0.715,0.81,2.7001,2.7001,2.7001
Appliance4,Television,2014-08,0.377,0.3638,0.421,1.4042000000000001,1.4042000000000001,1.4042000000000001
Appliance4,Television,2014-09,0.5811,0.5795,0.6551,2.1839,2.1839,2.1839
Appliance4,Television,2014-10,0.8224,0.7585,0.8386,2.7943,2.7943,2.7943
Appliance4,Television,2014-11,0.7539,0.6661,0.7539,2.5119,2.5119,2.5119
Appliance4,Television,2014-12,0.7708,0.6431,0.7751,2.5843,2.5843,2.5843
Appliance4,Television,2015-01,1.0508,0.9404,1.0594000000000001,3.5302,3.5302,3.5302
Appliance4,Television,2015-02,0.8045,0.7403,0.8161,2.7206,2.7206,2.7206
Appliance4,Television,2015-03,0.7588,0.6776,0.7843,2.6143,2.6143,2.6143
