label,cost_Economy_7,cost_Economy_10,cost_Standard,energy_Economy_7,energy_Economy_10,energy_Standard
Appliance1 (Fridge-Freezer),103.0391,94.4081,117.5387,391.7888,391.7888,391.7888
Appliance2 (Washing Machine),58.2709,49.5548,59.8381,199.4596,199.4596,199.4596
Appliance3 (Dishwasher),192.8866,165.8631,197.4711,658.2321,658.2321,658.2321
Appliance4 (Television),12.2786,11.3747,13.026,43.4189,43.4189,43.4189
Appliance5 (Microwave),8.8774,8.3337,9.065,30.2219,30.2219,30.2219
Appliance6 (Toaster),4.4442,4.3024,4.8086,16.0278,16.0278,16.0278
Appliance7 (Hi-Fi),5.1944,4.6476,5.7487,19.1654,19.1654,19.1654
Appliance8 (Kettle),65.0809,61.0254,71.2153,237.3754,237.3754,237.3754
Appliance9 (Oven Extractor Fan),1.1937,1.07,1.194,3.9815,3.9815,3.9815
Total,451.26579999999996,400.5798,479.9055000000001,1599.6714,1599.6714,1599.6714
