month,cost_Germany_Variable,cost_Germany_Variable_Base,energy_Germany_Variable,energy_Germany_Variable_Base
2014-01,72.19969999999999,84.6267,248.8985,248.8985
2014-02,8.765,10.0711,29.6212,29.6212
2014-03,52.051,61.6458,181.3125,181.3125
2014-04,44.5126,51.3928,151.1541,151.1541
2014-05,47.6505,54.8176,161.2312,161.2312
2014-06,37.035,42.568599999999996,125.1947,125.1947
2014-07,14.7523,17.036,50.1071,50.1071
2014-08,38.5362,44.7032,131.4801,131.4801
2014-09,39.811,46.4519,136.6238,136.6238
2014-10,42.2997,50.408,148.2555,148.2555
2014-11,23.4086,27.434,80.6919,80.6919
2014-12,79.41879999999999,92.4517,271.9268,271.9268
2015-01,35.0967,41.9723,123.4506,123.4506
2015-02,32.6458,38.4935,113.2171,113.2171
2015-03,28.558,33.1738,97.5857,97.5857
2015-04,29.218600000000002,33.7867,99.3749,99.3749
2015-05,8.2778,9.6746,28.4545,28.4545
2015-06,7.6311,9.0429,26.5965,26.5965
2015-07,3.2787,3.9504,11.616,11.616
