event_id,appliance_name,appliance_id,original_start_time,original_end_time,optimized_start_time,optimized_end_time,duration_minutes,original_cost_reported,optimized_cost_reported,original_cost_calculated,optimized_cost_calculated,cost_savings_calculated,savings_percentage_calculated,is_shifted,original_low_price_power,original_high_price_power,original_missing_minutes,optimized_low_price_power,optimized_high_price_power,optimized_missing_minutes
Dishwasher_2014-01-18_01,Dishwasher,Appliance4,2014-01-18 17:55:00,2014-01-18 18:54:00,2014-01-19 06:10:00,2014-01-19 07:09:00,59,0.3827613111471861,0.191380655573593,0.3827613111471861,0.19138065557359304,0.19138065557359304,50.0,True,0.0,76.55226222943725,0,76.55226222943725,0.0,0
Dishwasher_2014-01-20_01,Dishwasher,Appliance4,2014-01-20 18:32:00,2014-01-20 19:31:00,2014-01-21 06:02:00,2014-01-21 07:01:00,59,0.2700575256026654,0.1350287628013327,0.27005752560266544,0.13502876280133272,0.13502876280133272,50.0,True,0.0,54.01150512053306,13,54.01150512053306,0.0,13
Dishwasher_2014-01-23_01,Dishwasher,Appliance4,2014-01-23 18:38:00,2014-01-23 19:25:00,2014-01-24 06:08:00,2014-01-24 06:55:00,47,0.1658461637379433,0.0829230818689716,0.16584616373794334,0.08292308186897167,0.08292308186897167,50.0,True,0.0,33.169232747588666,16,33.169232747588666,0.0,16
Dishwasher_2014-03-08_01,Dishwasher,Appliance4,2014-03-08 13:24:00,2014-03-08 14:19:00,2014-03-09 06:09:00,2014-03-09 07:04:00,55,0.3738984146825396,0.1869492073412698,0.37389841468253965,0.18694920734126982,0.18694920734126982,50.0,True,0.0,74.77968293650794,0,74.77968293650794,0.0,0
Dishwasher_2014-03-09_01,Dishwasher,Appliance4,2014-03-09 18:13:00,2014-03-09 19:10:00,2014-03-10 06:13:00,2014-03-10 07:10:00,57,0.3691504345238093,0.1845752172619046,0.36915043452380936,0.18457521726190468,0.18457521726190468,50.0,True,0.0,73.83008690476188,0,73.83008690476188,0.0,0
Dishwasher_2014-03-12_02,Dishwasher,Appliance4,2014-03-12 07:11:00,2014-03-12 08:08:00,2014-03-13 06:11:00,2014-03-13 07:08:00,57,0.2939557390873016,0.1852214454365079,0.2939557390873016,0.18522144543650795,0.10873429365079365,36.99002237153151,True,30.594860714285716,43.493717460317455,3,74.08857817460319,0.0,3
Dishwasher_2014-03-14_01,Dishwasher,Appliance4,2014-03-14 07:12:00,2014-03-14 08:19:00,2014-03-15 06:12:00,2014-03-15 07:19:00,67,0.2949439126984127,0.1824031418650793,0.2949439126984127,0.18240314186507933,0.11254077083333336,38.15666843357064,True,27.94494841269841,45.016308333333335,10,72.96125674603175,0.0,10
Dishwasher_2014-03-16_01,Dishwasher,Appliance4,2014-03-16 18:23:00,2014-03-16 19:22:00,2014-03-17 06:08:00,2014-03-17 07:07:00,59,0.3133855903679653,0.1566927951839826,0.3133855903679653,0.15669279518398266,0.15669279518398266,50.0,True,0.0,62.67711807359305,6,62.67711807359305,0.0,6
Dishwasher_2014-03-19_01,Dishwasher,Appliance4,2014-03-19 07:34:00,2014-03-19 08:31:00,2014-03-20 06:04:00,2014-03-20 07:01:00,57,0.3682880104617604,0.1841440052308802,0.36828801046176046,0.18414400523088023,0.18414400523088023,50.0,True,0.0,73.65760209235208,2,73.65760209235208,0.0,2
Dishwasher_2014-03-22_01,Dishwasher,Appliance4,2014-03-22 10:53:00,2014-03-22 11:47:00,2014-03-23 06:08:00,2014-03-23 07:02:00,54,0.2921998163780663,0.1460999081890331,0.29219981637806636,0.14609990818903318,0.14609990818903318,50.0,True,0.0,58.43996327561328,11,58.43996327561328,0.0,11
Dishwasher_2014-03-23_01,Dishwasher,Appliance4,2014-03-23 18:45:00,2014-03-23 19:43:00,2014-03-24 06:00:00,2014-03-24 06:58:00,58,0.3790537063492064,0.1895268531746032,0.3790537063492064,0.1895268531746032,0.1895268531746032,50.0,True,0.0,75.81074126984126,0,75.81074126984126,0.0,0
Dishwasher_2014-03-26_01,Dishwasher,Appliance4,2014-03-26 18:22:00,2014-03-26 19:19:00,2014-03-27 06:07:00,2014-03-27 07:04:00,57,0.3661209090909092,0.1830604545454546,0.3661209090909092,0.1830604545454546,0.1830604545454546,50.0,True,0.0,73.2241818181818,0,73.2241818181818,0.0,0
Dishwasher_2014-03-29_01,Dishwasher,Appliance4,2014-03-29 18:41:00,2014-03-29 19:39:00,2014-03-30 06:11:00,2014-03-30 07:09:00,58,0.367008117063492,0.183504058531746,0.367008117063492,0.183504058531746,0.183504058531746,50.0,True,0.0,73.40162341269843,0,73.40162341269843,0.0,0
Dishwasher_2014-03-31_01,Dishwasher,Appliance4,2014-03-31 17:17:00,2014-03-31 18:12:00,2014-04-01 06:02:00,2014-04-01 06:57:00,55,0.3561770674603173,0.1780885337301586,0.3561770674603173,0.17808853373015865,0.17808853373015865,50.0,True,0.0,71.23541349206347,0,71.23541349206347,0.0,0
Dishwasher_2014-04-02_01,Dishwasher,Appliance4,2014-04-02 19:09:00,2014-04-02 20:03:00,2014-04-03 06:09:00,2014-04-03 07:03:00,54,0.3471025396825395,0.1735512698412697,0.34710253968253957,0.17355126984126978,0.17355126984126978,50.0,True,0.0,69.42050793650795,0,69.42050793650795,0.0,0
Dishwasher_2014-04-04_01,Dishwasher,Appliance4,2014-04-04 18:09:00,2014-04-04 19:18:00,2014-04-05 06:09:00,2014-04-05 07:18:00,69,0.2071166296579237,0.1035583148289618,0.20711662965792374,0.10355831482896187,0.10355831482896187,50.0,True,0.0,41.42332593158476,37,41.42332593158476,0.0,37
Dishwasher_2014-04-09_01,Dishwasher,Appliance4,2014-04-09 17:40:00,2014-04-09 18:37:00,2014-04-10 06:10:00,2014-04-10 07:07:00,57,0.367385861111111,0.1836929305555555,0.3673858611111111,0.18369293055555555,0.18369293055555555,50.0,True,0.0,73.47717222222221,0,73.47717222222221,0.0,0
Dishwasher_2014-04-12_01,Dishwasher,Appliance4,2014-04-12 10:25:00,2014-04-12 11:20:00,2014-04-13 06:10:00,2014-04-13 07:05:00,55,0.2514254642857143,0.1257127321428571,0.2514254642857143,0.12571273214285714,0.12571273214285714,50.0,True,0.0,50.28509285714285,12,50.28509285714285,0.0,12
Dishwasher_2014-04-13_01,Dishwasher,Appliance4,2014-04-13 12:20:00,2014-04-13 13:15:00,2014-04-14 06:05:00,2014-04-14 07:00:00,55,0.3587573003246754,0.1793786501623377,0.3587573003246754,0.1793786501623377,0.1793786501623377,50.0,True,0.0,71.75146006493507,0,71.75146006493507,0.0,0
Dishwasher_2014-04-15_01,Dishwasher,Appliance4,2014-04-15 18:10:00,2014-04-15 19:03:00,2014-04-16 06:10:00,2014-04-16 07:03:00,53,0.2187231123737373,0.1093615561868686,0.21872311237373737,0.10936155618686869,0.10936155618686869,50.0,True,0.0,43.744622474747466,14,43.744622474747466,0.0,14
Dishwasher_2014-04-17_01,Dishwasher,Appliance4,2014-04-17 17:17:00,2014-04-17 18:17:00,2014-04-18 06:02:00,2014-04-18 07:02:00,60,0.06888925,0.034444625,0.06888925000000001,0.034444625000000006,0.034444625000000006,50.0,True,0.0,13.777850000000003,41,13.777850000000003,0.0,41
Dishwasher_2014-04-20_01,Dishwasher,Appliance4,2014-04-20 07:40:00,2014-04-20 08:37:00,2014-04-21 06:10:00,2014-04-21 07:07:00,57,0.3565652909451658,0.1782826454725829,0.35656529094516587,0.17828264547258293,0.17828264547258293,50.0,True,0.0,71.31305818903319,0,71.31305818903319,0.0,0
Dishwasher_2014-04-22_01,Dishwasher,Appliance4,2014-04-22 17:11:00,2014-04-22 18:04:00,2014-04-23 06:11:00,2014-04-23 07:04:00,53,0.2484470073529411,0.1242235036764705,0.24844700735294115,0.12422350367647057,0.12422350367647057,50.0,True,0.0,49.68940147058822,11,49.68940147058822,0.0,11
Dishwasher_2014-04-24_01,Dishwasher,Appliance4,2014-04-24 20:10:00,2014-04-24 21:04:00,2014-04-25 06:10:00,2014-04-25 07:04:00,54,0.3425708373015872,0.1712854186507936,0.3425708373015872,0.1712854186507936,0.1712854186507936,50.0,True,0.0,68.51416746031744,0,68.51416746031744,0.0,0
Dishwasher_2014-04-26_02,Dishwasher,Appliance4,2014-04-26 17:39:00,2014-04-26 18:34:00,2014-04-27 06:09:00,2014-04-27 07:04:00,55,0.3619398333333333,0.1809699166666666,0.3619398333333333,0.18096991666666665,0.18096991666666665,50.0,True,0.0,72.38796666666666,0,72.38796666666666,0.0,0
Dishwasher_2014-05-03_01,Dishwasher,Appliance4,2014-05-03 10:22:00,2014-05-03 11:14:00,2014-05-04 06:07:00,2014-05-04 06:59:00,52,0.3321120827922079,0.1660560413961039,0.3321120827922079,0.16605604139610394,0.16605604139610394,50.0,True,0.0,66.42241655844155,0,66.42241655844155,0.0,0
Dishwasher_2014-05-04_01,Dishwasher,Appliance4,2014-05-04 17:59:00,2014-05-04 18:54:00,2014-05-05 06:14:00,2014-05-05 07:09:00,55,0.3534806643217893,0.1767403321608946,0.3534806643217893,0.17674033216089466,0.17674033216089466,50.0,True,0.0,70.69613286435784,0,70.69613286435784,0.0,0
Dishwasher_2014-05-09_01,Dishwasher,Appliance4,2014-05-09 06:44:00,2014-05-09 07:39:00,2014-05-10 06:14:00,2014-05-10 07:09:00,55,0.2076354791666666,0.1739178958333333,0.20763547916666666,0.17391789583333334,0.03371758333333333,16.23883522635773,True,56.08012500000001,13.487033333333335,0,69.56715833333334,0.0,0
Dishwasher_2014-05-11_01,Dishwasher,Appliance4,2014-05-11 12:16:00,2014-05-11 13:11:00,2014-05-12 06:01:00,2014-05-12 06:56:00,55,0.3485797500000001,0.174289875,0.3485797500000001,0.17428987500000004,0.17428987500000004,50.0,True,0.0,69.71594999999999,0,69.71594999999999,0.0,0
Dishwasher_2014-05-14_01,Dishwasher,Appliance4,2014-05-14 18:03:00,2014-05-14 18:56:00,2014-05-15 06:03:00,2014-05-15 06:56:00,53,0.3438001010101009,0.1719000505050504,0.34380010101010094,0.17190005050505047,0.17190005050505047,50.0,True,0.0,68.7600202020202,0,68.7600202020202,0.0,0
Dishwasher_2014-05-17_01,Dishwasher,Appliance4,2014-05-17 17:49:00,2014-05-17 18:43:00,2014-05-18 06:04:00,2014-05-18 06:58:00,54,0.3396567225552226,0.1698283612776113,0.33965672255522267,0.16982836127761133,0.16982836127761133,50.0,True,0.0,67.9313445110445,0,67.9313445110445,0.0,0
Dishwasher_2014-05-19_01,Dishwasher,Appliance4,2014-05-19 19:28:00,2014-05-19 20:19:00,2014-05-20 06:13:00,2014-05-20 07:04:00,51,0.3295811567460315,0.1647905783730157,0.32958115674603156,0.16479057837301578,0.16479057837301578,50.0,True,0.0,65.91623134920637,0,65.91623134920637,0.0,0
Dishwasher_2014-05-22_01,Dishwasher,Appliance4,2014-05-22 19:18:00,2014-05-22 20:04:00,2014-05-23 06:03:00,2014-05-23 06:49:00,46,0.3038470843253968,0.1519235421626984,0.3038470843253968,0.1519235421626984,0.1519235421626984,50.0,True,0.0,60.76941686507936,0,60.76941686507936,0.0,0
Dishwasher_2014-05-26_01,Dishwasher,Appliance4,2014-05-26 11:57:00,2014-05-26 12:50:00,2014-05-27 06:12:00,2014-05-27 07:05:00,53,0.3450698492063492,0.1725349246031746,0.3450698492063492,0.1725349246031746,0.1725349246031746,50.0,True,0.0,69.01396984126984,0,69.01396984126984,0.0,0
Dishwasher_2014-05-27_01,Dishwasher,Appliance4,2014-05-27 17:05:00,2014-05-27 17:57:00,2014-05-28 06:05:00,2014-05-28 06:57:00,52,0.3333754754689754,0.1666877377344877,0.3333754754689754,0.1666877377344877,0.1666877377344877,50.0,True,0.0,66.67509509379511,0,66.67509509379511,0.0,0
Dishwasher_2014-05-29_01,Dishwasher,Appliance4,2014-05-29 08:28:00,2014-05-29 09:25:00,2014-05-30 06:13:00,2014-05-30 07:10:00,57,0.3590247000360749,0.1795123500180374,0.359024700036075,0.1795123500180375,0.1795123500180375,50.0,True,0.0,71.804940007215,0,71.804940007215,0.0,0
