event_id,appliance_name,original_start_time,original_end_time,scheduled_start_time,scheduled_end_time,schedule_status,season,duration(min),energy(W)
Washer_Dryer_2013-12-29_07,Washer Dryer,2013-12-29 16:46:00,2013-12-29 18:27:00,2013-12-29 16:51:00,2013-12-29 18:32:00,SUCCESS,winter,101.0,102387.3
Washer_Dryer_2013-12-30_01,Washer Dryer,2013-12-30 18:37:00,2013-12-30 20:28:00,2013-12-30 20:00:00,2013-12-30 21:51:00,SUCCESS,winter,111.0,116083.67
Washer_Dryer_2014-01-04_04,Washer Dryer,2014-01-04 18:04:00,2014-01-04 18:35:00,2014-01-04 22:00:00,2014-01-04 22:31:00,SUCCESS,winter,31.0,6675.36
Washer_Dryer_2014-01-11_03,Washer Dryer,2014-01-11 17:09:00,2014-01-11 19:20:00,2014-01-11 20:00:00,2014-01-11 22:11:00,SUCCESS,winter,131.0,120739.32
Washer_Dryer_2014-01-23_02,Washer Dryer,2014-01-23 18:20:00,2014-01-23 19:01:00,2014-01-23 22:00:00,2014-01-23 22:41:00,SUCCESS,winter,41.0,44808.66
Washer_Dryer_2014-03-08_02,Washer Dryer,2014-03-08 17:38:00,2014-03-08 19:19:00,2014-03-08 20:00:00,2014-03-08 21:41:00,SUCCESS,winter,101.0,88083.33
Washer_Dryer_2014-03-11_01,Washer Dryer,2014-03-11 18:38:00,2014-03-11 20:22:00,2014-03-11 20:00:00,2014-03-11 21:44:00,SUCCESS,winter,104.0,131276.21
Washer_Dryer_2014-04-02_01,Washer Dryer,2014-04-02 19:21:00,2014-04-02 21:27:00,2014-04-02 20:00:00,2014-04-02 22:06:00,SUCCESS,winter,126.0,137315.74
Washer_Dryer_2014-04-03_01,Washer Dryer,2014-04-03 18:45:00,2014-04-03 20:56:00,2014-04-03 20:00:00,2014-04-03 22:11:00,SUCCESS,winter,131.0,128488.17
Washer_Dryer_2014-04-09_01,Washer Dryer,2014-04-09 15:36:00,2014-04-09 17:36:00,2014-04-09 15:41:00,2014-04-09 17:41:00,SUCCESS,winter,120.0,127638.43
Washer_Dryer_2014-04-30_02,Washer Dryer,2014-04-30 19:02:00,2014-04-30 20:53:00,2014-04-30 20:00:00,2014-04-30 21:51:00,SUCCESS,winter,111.0,112300.94
Washer_Dryer_2014-11-03_04,Washer Dryer,2014-11-03 16:49:00,2014-11-03 18:35:00,2014-11-03 16:54:00,2014-11-03 18:40:00,SUCCESS,winter,106.0,89345.59
Washer_Dryer_2014-11-15_02,Washer Dryer,2014-11-15 21:08:00,2014-11-15 22:43:00,2014-11-15 21:13:00,2014-11-15 22:48:00,SUCCESS,winter,95.0,102204.4
Washer_Dryer_2014-11-16_02,Washer Dryer,2014-11-16 17:33:00,2014-11-16 18:59:00,2014-11-16 20:00:00,2014-11-16 21:26:00,SUCCESS,winter,86.0,80106.58
